County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,3219 ,1194 ,1252 ,5851 ,2037 ,3197 
Benton,13582 ,8030 ,16422 ,26502 ,5689 ,8074 
Clackamas,73937 ,24125 ,37900 ,134142 ,32252 ,37643 
Clatsop,6716 ,2884 ,3805 ,13062 ,3663 ,5570 
Columbia,9783 ,3206 ,4260 ,16999 ,4376 ,5075 
Coos,11004 ,4452 ,5603 ,22076 ,7620 ,12046 
Crook,4126 ,1420 ,2077 ,6679 ,2165 ,2833 
Curry,3273 ,1147 ,1325 ,6785 ,3031 ,5639 
Deschutes,23884 ,7890 ,13398 ,44468 ,11746 ,15213 
Douglas,19531 ,7206 ,9676 ,34789 ,11351 ,17948 
Gilliam,346 ,128 ,150 ,696 ,216 ,364 
Grant,1599 ,608 ,610 ,2842 ,952 ,1339 
Harney,1618 ,512 ,677 ,2820 ,838 ,1135 
HoodRiver,4755 ,1482 ,2511 ,7528 ,1607 ,2616 
Jackson,36628 ,13028 ,20708 ,64490 ,18239 ,29107 
Jefferson,4751 ,1362 ,2213 ,6435 ,2001 ,2388 
Josephine,14369 ,4968 ,6494 ,25816 ,9101 ,15301 
Klamath,13719 ,4565 ,7354 ,22180 ,6552 ,9529 
Lake,1447 ,508 ,608 ,2662 ,909 ,1316 
Lane,61179 ,24661 ,48961 ,116704 ,29323 ,43122 
Lincoln,7665 ,2930 ,3813 ,15983 ,5488 ,8722 
Linn,22220 ,7524 ,11932 ,36528 ,10139 ,15007 
Malheur,7271 ,2488 ,4370 ,10588 ,2710 ,4323 
Marion,65515 ,22101 ,40817 ,99492 ,23137 ,35239 
Morrow,2819 ,893 ,1357 ,3856 ,1001 ,1173 
Multnomah,126014 ,42043 ,108877 ,261163 ,50625 ,73679 
Polk,13094 ,5212 ,8305 ,21252 ,5568 ,9270 
Sherman,409 ,148 ,132 ,687 ,216 ,358 
Tillamook,4309 ,1643 ,2097 ,8459 ,2989 ,4804 
Umatilla,16232 ,5492 ,9314 ,24962 ,6133 ,8717 
Union,4865 ,2139 ,3290 ,8256 ,2384 ,3617 
Wallowa,1376 ,503 ,487 ,2641 ,876 ,1367 
Wasco,4950 ,1676 ,2414 ,8408 ,2430 ,3973 
Washington,103089 ,29787 ,68307 ,176110 ,32255 ,39701 
Wheeler,256 ,109 ,81 ,487 ,256 ,361 
Yamhill,19020 ,7176 ,11858 ,30600 ,6825 ,10021 
