"SERIALNO","HWEIGHT"
833,15
5556,6
6757,24
10141,15
10867,31
13266,0
15383,9
16886,27
19037,6
20462,13
21803,6
22912,9
23980,6
27580,19
29334,12
30639,27
35038,6
39709,6
41493,31
43709,7
46623,6
50281,3
56882,26
58878,28
62282,6
65298,6
76890,9
81226,6
83807,25
86995,9
92849,21
94788,3
100259,15
105882,6
106405,6
106884,7
110151,6
116507,18
118662,18
118885,18
119754,6
120502,6
122185,7
127214,6
132865,27
133293,12
133740,6
135774,7
136183,28
140874,7
144907,24
146211,6
150839,10
152661,24
152841,15
154591,6
156738,6
158433,21
161421,12
162016,6
164270,12
165538,16
170631,22
176300,16
178474,13
187832,15
193579,9
194227,9
199941,13
200445,6
202175,9
208248,9
209004,15
210072,6
210183,6
211238,9
213060,6
215726,18
218885,24
222056,6
226839,7
227560,0
227692,0
231667,0
234408,33
234449,6
235319,6
236911,21
238617,6
246979,18
247403,22
251858,6
253809,0
255763,12
262629,0
264830,9
267202,6
272557,6
272650,6
272911,19
277712,6
278057,7
280122,21
284912,0
288199,6
292434,7
296710,18
308372,6
320100,19
325573,9
326951,6
327759,7
327991,0
328410,12
328628,7
328927,15
330964,7
331730,6
335096,9
342071,0
343152,6
344135,12
348376,24
356584,0
356657,15
356658,30
359467,6
366452,18
367367,28
368665,6
379093,6
380724,15
385231,25
387194,6
388900,6
390498,9
395408,9
403095,6
409123,6
410233,25
416486,6
418395,37
420974,15
424734,9
428342,0
430437,6
435599,6
436165,15
443800,19
446595,7
451047,6
459065,6
460404,6
464603,6
468560,6
469039,15
469787,30
480382,21
481421,0
485542,24
496633,9
499311,9
500164,21
500677,21
502009,0
502877,12
503428,10
504978,6
505152,3
505492,24
506028,25
506171,9
507041,27
515609,22
517032,6
518198,15
528533,7
532119,10
533479,18
535964,21
537204,6
538929,6
542664,15
542836,21
544889,0
546983,22
548007,0
551037,15
553929,20
556855,6
561866,18
565500,7
566978,10
569747,18
569771,4
574877,16
575363,7
589725,15
592818,6
593458,16
595110,6
597518,6
598481,6
601944,28
607116,6
610058,15
610272,6
611597,6
615844,10
617184,6
622462,24
623007,6
626823,18
630036,21
636018,9
