"SERIALNO","AGE"
833,47
833,46
833,21
833,18
833,12
833,9
833,66
5556,35
5556,35
5556,15
5556,18
6757,48
6757,45
6757,16
6757,15
10141,69
10141,74
10867,34
10867,33
13266,53
15383,72
15383,77
16886,41
16886,40
16886,11
16886,8
21803,74
22912,26
22912,28
23980,50
23980,46
23980,15
27580,73
27580,71
29334,93
30639,63
30639,63
35038,50
35038,58
35038,18
35038,13
39709,55
41493,23
41493,8
41493,0
46623,30
46623,31
50281,42
58878,41
62282,63
62282,60
65298,84
76890,61
81226,69
81226,68
83807,55
83807,55
86995,75
86995,50
86995,42
86995,40
92849,86
100259,41
100259,42
100259,17
100259,15
105882,78
105882,70
106405,31
106405,26
106405,1
110151,31
110151,34
110151,66
110151,33
110151,25
116507,37
116507,43
118662,41
118662,43
118662,12
118885,83
118885,69
119754,63
119754,58
120502,38
120502,35
120502,12
120502,14
127214,51
127214,49
127214,18
127214,16
132865,43
132865,39
132865,16
132865,13
133293,59
133293,16
133293,64
133740,75
136183,80
140874,81
140874,71
144907,19
144907,0
146211,52
150839,72
150839,66
152661,55
152661,57
152661,29
152661,79
152841,36
154591,64
154591,59
156738,78
156738,66
158433,81
158433,87
161421,42
161421,43
161421,20
161421,18
161421,18
161421,16
162016,66
164270,30
165538,50
165538,48
170631,68
170631,7
176300,56
176300,65
176300,14
176300,11
187832,93
193579,43
193579,42
193579,16
194227,43
194227,17
194227,14
194227,7
194227,41
200445,44
200445,37
200445,7
202175,53
202175,59
208248,52
208248,14
209004,40
209004,32
209004,6
209004,3
209004,1
210072,37
211238,41
211238,36
211238,15
211238,5
213060,74
213060,75
215726,43
215726,17
215726,17
215726,38
218885,39
218885,34
218885,14
218885,9
222056,50
222056,12
226839,57
227560,27
227692,18
231667,17
234408,56
234408,24
234408,48
234408,14
234408,9
234408,6
234449,67
234449,55
235319,78
235319,71
236911,49
236911,18
238617,61
238617,61
246979,63
246979,61
247403,51
247403,49
253809,24
255763,49
255763,54
262629,35
264830,28
264830,24
267202,81
267202,76
272557,65
272557,57
272650,58
272650,58
272911,81
277712,48
277712,46
278057,42
278057,39
278057,22
278057,15
280122,37
280122,34
284912,42
288199,24
288199,23
288199,3
296710,73
308372,85
320100,34
325573,60
325573,53
326951,21
326951,18
326951,1
327759,85
327759,77
327991,27
328410,24
328410,20
328927,49
328927,50
328927,18
328927,17
328927,16
328927,13
330964,46
331730,32
335096,82
335096,78
342071,20
343152,72
343152,69
344135,71
344135,58
348376,69
356584,22
356657,37
356657,34
356657,11
356657,9
356657,5
356658,29
356658,25
356658,5
356658,16
359467,49
359467,13
366452,93
367367,42
368665,83
379093,58
379093,49
380724,46
380724,74
380724,47
385231,30
385231,39
387194,39
388900,56
388900,49
388900,20
388900,13
390498,30
390498,38
390498,10
390498,5
395408,30
395408,30
395408,12
395408,9
403095,41
403095,49
403095,15
403095,16
409123,42
409123,16
409123,13
409123,8
410233,64
416486,60
418395,52
418395,52
418395,21
418395,25
418395,23
418395,4
418395,2
420974,68
420974,61
424734,29
424734,1
428342,14
430437,75
430437,73
435599,38
435599,39
435599,18
435599,16
435599,13
436165,55
436165,49
436165,14
443800,38
443800,33
443800,7
443800,2
451047,40
459065,75
460404,71
460404,64
464603,56
464603,55
468560,75
469039,61
469787,45
469787,48
480382,68
480382,89
481421,31
485542,32
485542,29
485542,8
485542,6
496633,28
496633,30
496633,7
496633,6
499311,29
500164,71
500677,76
500677,74
502009,24
502877,68
504978,43
504978,44
504978,18
504978,16
504978,12
505492,87
506028,72
506028,37
506028,16
506171,39
506171,38
506171,10
506171,8
507041,28
507041,8
507041,7
507041,5
507041,2
515609,52
515609,51
517032,65
518198,60
518198,51
532119,57
532119,46
532119,10
533479,80
535964,37
535964,49
535964,25
537204,66
537204,62
538929,41
538929,42
538929,14
538929,11
542664,28
542664,5
542836,34
542836,32
542836,11
542836,10
544889,41
546983,42
548007,19
551037,87
556855,33
556855,34
556855,15
556855,11
556855,11
561866,39
561866,39
561866,15
561866,24
565500,74
565500,72
565500,38
566978,53
566978,47
569747,33
569747,34
569747,2
569747,0
569771,45
569771,47
569771,16
569771,15
575363,30
575363,29
575363,5
575363,1
589725,30
592818,34
592818,32
592818,9
592818,5
593458,62
595110,36
595110,37
595110,14
595110,12
597518,75
597518,76
598481,57
601944,48
601944,46
607116,52
607116,49
607116,27
607116,33
607116,20
607116,1
610058,43
610058,46
610058,21
610058,22
610058,2
610272,55
610272,80
611597,68
622462,27
623007,60
623007,58
626823,28
626823,1
626823,2
626823,25
630036,76
630036,72
636018,33
636018,32
636018,7
636018,5
639907,75
639907,66
639907,21
639918,64
645381,60
645381,62
649256,48
649256,45
649256,16
652086,69
652086,67
657305,85
657305,62
657305,54
666638,73
672690,27
672690,27
672690,5
672690,0
672696,49
672696,48
674436,65
674436,41
674436,30
674436,7
674436,31
675195,72
675195,69
675749,52
675749,46
675749,20
682216,30
686123,29
686123,25
686123,4
686706,41
694896,29
694896,22
694896,2
694896,2
697019,76
697019,72
697610,62
697610,59
716786,73
716786,61
716956,57
716956,61
719591,37
719591,27
719591,12
719591,0
727648,43
727648,36
727648,16
727648,13
727648,19
727657,28
727657,33
727657,2
727657,0
727657,12
727657,8
728613,52
728613,52
739013,45
739013,45
739013,11
739013,6
747161,39
747573,49
750220,59
750220,46
750220,9
750220,20
751646,50
751646,43
751646,17
751646,26
751646,5
752760,57
752760,53
758742,57
758742,50
758742,17
767413,60
767413,66
767930,47
767930,17
777021,73
777021,68
780720,61
780720,59
783610,44
783610,41
785061,48
785061,45
785061,17
785061,13
785528,53
785962,36
785962,16
785962,75
785962,29
790730,37
790730,37
790730,13
790730,10
794411,42
795681,20
796794,43
796794,15
796794,12
802993,84
802993,85
808839,76
808839,69
810735,20
811088,28
811088,9
