ArealUnit,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus,HhSize,Prop1PerHh
Baker,2010,2596,959,1706,5393,2473,3372,2.32,NA
Benton,2010,12626,8165,18542,26480,10380,9529,2.35,NA
Clackamas,2010,73626,27112,55239,135027,53058,47474,2.56,NA
Clatsop,2010,6311,2550,4722,11761,5922,5896,2.18,NA
Columbia,2010,8856,3572,6003,16281,7017,6563,2.56,NA
Coos,2010,9966,4090,6800,19439,10278,12813,2.29,NA
Crook,2010,4347,1697,3158,7323,3059,3466,2.45,NA
Curry,2010,2721,1138,1944,5707,3708,6314,2.14,NA
Deschutes,2010,27656,9542,19131,56451,23479,22534,2.43,NA
Douglas,2010,18004,6667,12961,32538,16008,20201,2.41,NA
Gilliam,2010,298,124,207,614,304,398,2.03,NA
Grant,2010,1194,547,867,2333,1214,1399,2.19,NA
Harney,2010,1292,524,915,2364,1094,1264,2.14,NA
Hood River,2010,4690,1534,2720,7648,2671,2735,2.61,NA
Jackson,2010,36865,14043,27910,65920,29712,33921,2.37,NA
Jefferson,2010,4948,1657,2783,6911,2717,3154,2.72,NA
Josephine,2010,13268,5414,9690,24966,13559,17290,2.37,NA
Klamath,2010,12967,4695,8825,21059,9095,10327,2.38,NA
Lake,2010,1197,498,836,2297,1172,1428,2.16,NA
Lane,2010,57632,24264,54756,114258,47402,49180,2.34,NA
Lincoln,2010,6953,2576,4717,14824,8371,9503,2.18,NA
Linn,2010,21967,7655,13952,35413,14398,16737,2.53,NA
Malheur,2010,7100,2370,4393,11535,3813,4614,2.68,NA
Marion,2010,70532,22899,47218,108036,36275,38169,2.65,NA
Morrow,2010,3013,1082,1862,4511,1593,1522,2.87,NA
Multnomah,2010,132209,41723,98571,277792,87472,74143,2.33,NA
Polk,2010,13582,5448,12054,22255,9115,10390,2.57,NA
Sherman,2010,304,115,195,573,312,435,2.24,NA
Tillamook,2010,3883,1597,3100,7929,4486,5594,2.21,NA
Umatilla,2010,15605,5569,10473,25042,8958,9624,2.63,NA
Union,2010,4906,2060,4177,7106,3373,3975,2.45,NA
Wallowa,2010,1044,441,909,1958,1407,1555,2.27,NA
Wasco,2010,4647,1626,2719,7357,3521,3883,2.42,NA
Washington,2010,120244,36786,73461,203979,57467,50741,2.6,NA
Wheeler,2010,204,93,106,449,249,461,2.07,NA
Yamhill,2010,19715,6896,15434,34375,11171,11341,2.71,NA
Baker,2035,2441,855,1252,5986,2192,4578,NA,NA
Benton,2035,13893,8375,17804,29563,10510,18090,NA,NA
Clackamas,2035,108151,36049,67788,206952,56794,100497,NA,NA
Clatsop,2035,6126,2403,4057,11679,4580,10139,NA,NA
Columbia,2035,10730,3836,6047,20354,6440,14215,NA,NA
Coos,2035,9865,3750,5803,18322,7617,19562,NA,NA
Crook,2035,6593,2309,4058,12349,3865,6396,NA,NA
Curry,2035,3002,1103,1738,6236,2510,8710,NA,NA
Deschutes,2035,36366,12085,22800,77267,34446,61105,NA,NA
Douglas,2035,20993,7346,13141,42255,15393,35585,NA,NA
Gilliam,2035,364,129,210,735,252,677,NA,NA
Grant,2035,1088,418,618,2657,844,2021,NA,NA
Harney,2035,1604,556,950,3011,886,2113,NA,NA
HoodRiver,2035,6398,1961,3362,9379,3245,5964,NA,NA
Jackson,2035,46183,16546,31522,90233,32050,66135,NA,NA
Jefferson,2035,7158,2263,3773,9644,3550,7002,NA,NA
Josephine,2035,16350,5961,10076,34426,12958,31362,NA,NA
Klamath,2035,14425,4808,8872,24480,8465,16316,NA,NA
Lake,2035,1247,454,677,2429,840,1929,NA,NA
Lane,2035,70769,28073,62413,144648,50219,94916,NA,NA
Lincoln,2035,7160,2558,4261,16808,7789,16787,NA,NA
Linn,2035,27213,9053,15917,42821,14460,29253,NA,NA
Malheur,2035,8874,2712,4607,13298,5228,7910,NA,NA
Marion,2035,88025,28160,56322,135424,45775,76118,NA,NA
Morrow,2035,4407,1398,2469,7205,2373,3506,NA,NA
Multnomah,2035,137088,43335,106885,268732,106035,159693,NA,NA
Polk,2035,24102,8983,17815,44426,12044,19649,NA,NA
Sherman,2035,311,116,146,561,220,773,NA,NA
Tillamook,2035,4300,1539,2859,9626,3851,9364,NA,NA
Umatilla,2035,20404,6716,12407,33161,10582,17732,NA,NA
Union,2035,6365,2654,4811,8737,2514,5505,NA,NA
Wallowa,2035,1450,522,777,2724,763,2195,NA,NA
Wasco,2035,5392,1810,2900,8149,2910,6362,NA,NA
Washington,2035,172159,53196,113823,290434,88340,136211,NA,NA
Wheeler,2035,216,88,82,469,211,569,NA,NA
Yamhill,2035,27673,9513,20055,53384,16817,26106,NA,NA
