ModelYear,AutoPropHev,AutoHevMpg,LtTruckPropHev,LtTruckHevMpg
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,0,0,0,0
2006,0,0,0,0
2007,0,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2010,0.01,46,0.0075,28
2011,0.02,48,0.015,29.6
2012,0.04,50,0.03,31.2
2013,0.05,52,0.0375,32.8
2014,0.075,54,0.05625,34.4
2015,0.1,56,0.075,36
2016,0.13,57.2,0.0975,37.4
2017,0.18,58.4,0.135,38.8
2018,0.22,59.6,0.165,40.2
2019,0.3,60.8,0.225,41.6
2020,0.407407407,62,0.305555556,43
2021,0.462962963,62.8,0.347222222,44
2022,0.518518519,63.6,0.388888889,45
2023,0.592592593,64.4,0.444444444,46
2024,0.648148148,65.2,0.486111111,47
2025,0.703703704,66,0.527777778,48
2026,0.722222222,66.6,0.541666667,48.6
2027,0.759259259,67.2,0.569444444,49.2
2028,0.777777778,67.9,0.583333333,49.8
2029,0.814814815,68.5,0.611111111,50.4
2030,0.833333333,69.1,0.625,51
2031,0.851851852,69.4,0.638888889,51.4
2032,0.851851852,69.7,0.638888889,51.8
2033,0.87037037,70.1,0.652777778,52.2
2034,0.888888889,70.4,0.666666667,52.6
2035,0.907407407,70.7,0.680555556,53
2036,0.907407407,71,0.680555556,53.2
2037,0.925925926,71.3,0.694444444,53.4
2038,0.925925926,71.7,0.694444444,53.6
2039,0.944444444,72,0.708333333,53.9
2040,0.944444444,72.3,0.708333333,54.1
2041,0.944444444,72.6,0.708333333,54.3
2042,0.962962963,72.9,0.722222222,54.5
2043,0.962962963,73.3,0.722222222,54.8
2044,0.981481481,73.6,0.736111111,55
2045,0.981481481,73.9,0.736111111,55.2
2046,0.981481481,74.2,0.736111111,55.4
2047,0.981481481,74.5,0.736111111,55.6
2048,1,74.9,0.75,55.9
2049,1,75.2,0.75,56.1
2050,1,75.5,0.75,56.3
