Geo,Year,ElectricityCI
Baker,2010,153
Benton,2010,153
Clackamas,2010,153
Clatsop,2010,153
Columbia,2010,153
Coos,2010,153
Crook,2010,153
Curry,2010,153
Deschutes,2010,153
Douglas,2010,153
Gilliam,2010,153
Grant,2010,153
Harney,2010,153
Hood River,2010,153
Jackson,2010,153
Jefferson,2010,153
Josephine,2010,153
Klamath,2010,153
Lake,2010,153
Lane,2010,153
Lincoln,2010,153
Linn,2010,153
Malheur,2010,153
Marion,2010,153
Morrow,2010,153
Multnomah,2010,153
Polk,2010,153
Sherman,2010,153
Tillamook,2010,153
Umatilla,2010,153
Union,2010,153
Wallowa,2010,153
Wasco,2010,153
Washington,2010,153
Wheeler,2010,153
Yamhill,2010,153
Baker,2040,23
Benton,2040,23
Clackamas,2040,23
Clatsop,2040,23
Columbia,2040,23
Coos,2040,23
Crook,2040,23
Curry,2040,23
Deschutes,2040,23
Douglas,2040,23
Gilliam,2040,23
Grant,2040,23
Harney,2040,23
Hood River,2040,23
Jackson,2040,23
Jefferson,2040,23
Josephine,2040,23
Klamath,2040,23
Lake,2040,23
Lane,2040,23
Lincoln,2040,23
Linn,2040,23
Malheur,2040,23
Marion,2040,23
Morrow,2040,23
Multnomah,2040,23
Polk,2040,23
Sherman,2040,23
Tillamook,2040,23
Umatilla,2040,23
Union,2040,23
Wallowa,2040,23
Wasco,2040,23
Washington,2040,23
Wheeler,2040,23
Yamhill,2040,23
