Geo,Year,PropMetroHh,PropTownHh,PropRuralHh
Baker,2010,0,0.69,0.31
Benton,2010,0.74,0.07,0.19
Clackamas,2010,0.7,0.09,0.21
Clatsop,2010,0,0.63,0.37
Columbia,2010,0,0.52,0.48
Coos,2010,0,0.62,0.38
Crook,2010,0,0.54,0.46
Curry,2010,0,0.47,0.53
Deschutes,2010,0.5,0.13,0.37
Douglas,2010,0,0.58,0.42
Gilliam,2010,0,0.69,0.31
Grant,2010,0,0.62,0.38
Harney,2010,0,0.62,0.38
Hood River,2010,0,0.43,0.57
Jackson,2010,0.71,0.07,0.22
Jefferson,2010,0,0.38,0.62
Josephine,2010,0.5,0.2,0.3
Klamath,2010,0,0.65,0.35
Lake,2010,0,0.43,0.57
Lane,2010,0.7,0.11,0.19
Lincoln,2010,0,0.62,0.38
Linn,2010,0.6,0.25,0.15
Malheur,2010,0,0.6,0.4
Marion,2010,0.66,0.19,0.15
Morrow,2010,0,0.6,0.4
Multnomah,2010,0.98,0,0.02
Polk,2010,0.32,0.44,0.24
Sherman,2010,0,0.59,0.41
Tillamook,2010,0,0.36,0.64
Umatilla,2010,0,0.7,0.3
Union,2010,0,0.75,0.25
Wallowa,2010,0,0.56,0.44
Wasco,2010,0,0.66,0.34
Washington,2010,0.92,0.01,0.07
Wheeler,2010,0,0.5,0.5
Yamhill,2010,0,0.7,0.3
Baker,2040,0,0.69,0.31
Benton,2040,0.74,0.07,0.19
Clackamas,2040,0.7,0.09,0.21
Clatsop,2040,0,0.63,0.37
Columbia,2040,0,0.52,0.48
Coos,2040,0,0.62,0.38
Crook,2040,0,0.54,0.46
Curry,2040,0,0.47,0.53
Deschutes,2040,0.5,0.13,0.37
Douglas,2040,0,0.58,0.42
Gilliam,2040,0,0.69,0.31
Grant,2040,0,0.62,0.38
Harney,2040,0,0.62,0.38
Hood River,2040,0,0.43,0.57
Jackson,2040,0.71,0.07,0.22
Jefferson,2040,0,0.38,0.62
Josephine,2040,0.5,0.2,0.3
Klamath,2040,0,0.65,0.35
Lake,2040,0,0.43,0.57
Lane,2040,0.7,0.11,0.19
Lincoln,2040,0,0.62,0.38
Linn,2040,0.6,0.25,0.15
Malheur,2040,0,0.6,0.4
Marion,2040,0.66,0.19,0.15
Morrow,2040,0,0.6,0.4
Multnomah,2040,0.98,0,0.02
Polk,2040,0.32,0.44,0.24
Sherman,2040,0,0.59,0.41
Tillamook,2040,0,0.36,0.64
Umatilla,2040,0,0.7,0.3
Union,2040,0,0.75,0.25
Wallowa,2040,0,0.56,0.44
Wasco,2040,0,0.66,0.34
Washington,2040,0.92,0.01,0.07
Wheeler,2040,0,0.5,0.5
Yamhill,2040,0,0.7,0.3
