Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2010,2596,960,1541,4938,2656,3493
Benton,2010,12198,8668,19134,24766,10645,10324
Clackamas,2010,72391,26014,40589,131707,54060,51231
Clatsop,2010,6231,2371,4594,11648,6156,6068
Columbia,2010,9521,3371,5044,17056,7377,7060
Coos,2010,9720,3836,6628,19076,10395,13381
Crook,2010,3853,1259,1979,6570,3264,4095
Curry,2010,2788,1103,1787,6062,4268,6349
Deschutes,2010,29634,9595,18292,54385,22588,23411
Douglas,2010,17907,6820,11413,32467,16955,22128
Gilliam,2010,278,109,141,617,321,406
Grant,2010,1170,432,638,2201,1312,1707
Harney,2010,1302,526,737,2339,1171,1371
Hood River,2010,4748,1540,2574,7958,2748,2818
Jackson,2010,36517,13268,24863,63287,30043,35364
Jefferson,2010,4511,1538,2511,6924,2870,3396
Josephine,2010,13598,5170,8137,24298,13315,18257
Klamath,2010,12269,4576,8066,20507,9838,11248
Lake,2010,1158,480,741,2600,1324,1586
Lane,2010,57657,24794,54170,112626,49961,52804
Lincoln,2010,6500,2394,4476,13968,8747,10049
Linn,2010,23581,7881,14153,37518,15900,17807
Malheur,2010,6603,2252,4178,10074,3613,4624
Marion,2010,68963,23550,43904,102273,36728,40482
Morrow,2010,2620,894,1283,3575,1423,1379
Multnomah,2010,127425,41436,123046,278237,87767,77423
Polk,2010,15120,5951,10729,22989,9882,10825
Sherman,2010,287,95,169,556,271,386
Tillamook,2010,3935,1478,2450,7641,4380,5374
Umatilla,2010,16586,5622,10238,24586,9204,9763
Union,2010,4812,1910,3567,7502,3720,4300
Wallowa,2010,1096,318,656,2010,1332,1594
Wasco,2010,4850,1676,2898,7684,3745,4383
Washington,2010,113830,34173,72678,197654,58266,53109
Wheeler,2010,212,76,94,366,250,442
Yamhill,2010,20258,7758,13350,32994,11982,13064
Baker,2040,2805,920,1298,4730,2078,4493
Benton,2040,14207,10157,22463,31301,9124,17795
Clackamas,2040,78994,29598,46449,147100,64533,108022
Clatsop,2040,6682,2323,3972,11985,4968,10821
Columbia,2040,11135,3635,5553,22817,7658,15883
Coos,2040,9801,3223,5446,18529,8222,19711
Crook,2040,4930,1521,2513,8211,2724,6220
Curry,2040,2434,817,1392,6560,3326,10384
Deschutes,2040,37530,11650,20697,72031,32394,66923
Douglas,2040,20082,6885,11433,40151,16448,38785
Gilliam,2040,425,128,192,686,276,766
Grant,2040,813,273,434,1724,765,2480
Harney,2040,1151,373,564,2388,997,1592
Hood River,2040,5901,1752,2948,11063,4008,7857
Jackson,2040,43793,14783,26403,85335,32959,73278
Jefferson,2040,6087,1711,2799,7405,3278,8135
Josephine,2040,16311,5536,8881,31370,13775,33652
Klamath,2040,12947,4189,7349,23162,8186,17003
Lake,2040,1443,462,671,2461,848,1977
Lane,2040,66541,29350,64894,141056,44672,90830
Lincoln,2040,7302,2262,4103,14378,8098,18544
Linn,2040,28606,9377,16186,51403,17056,33877
Malheur,2040,7152,2190,3463,9767,4447,7510
Marion,2040,93596,29387,53349,144095,47261,85868
Morrow,2040,3079,920,1432,4648,1816,3070
Multnomah,2040,167526,56852,168521,373793,126090,197757
Polk,2040,21899,7629,14047,42208,12732,22528
Sherman,2040,292,96,154,553,213,451
Tillamook,2040,4588,1421,2450,8174,4105,9391
Umatilla,2040,22518,6881,12094,33652,10883,17781
Union,2040,6744,2225,4275,10184,2914,6231
Wallowa,2040,1006,311,519,1891,868,2150
Wasco,2040,5965,1882,3024,9554,3841,8139
Washington,2040,128926,40378,85735,228983,72119,116634
Wheeler,2040,170,57,91,370,165,433
Yamhill,2040,26606,9116,16266,53508,16260,29808
