Geo,Year,CenterEcoProp,InnerEcoProp,OuterEcoProp,FringeEcoProp,CenterImpProp,InnerImpProp,OuterImpProp,FringeImpProp
Baker,2010,,,,,,,,
Benton,2010,,,,,,,,
Clackamas,2010,,,,,,,,
Clatsop,2010,,,,,,,,
Columbia,2010,,,,,,,,
Coos,2010,,,,,,,,
Crook,2010,,,,,,,,
Curry,2010,,,,,,,,
Deschutes,2010,,,,,,,,
Douglas,2010,,,,,,,,
Gilliam,2010,,,,,,,,
Grant,2010,,,,,,,,
Harney,2010,,,,,,,,
Hood River,2010,,,,,,,,
Jackson,2010,,,,,,,,
Jefferson,2010,,,,,,,,
Josephine,2010,,,,,,,,
Klamath,2010,,,,,,,,
Lake,2010,,,,,,,,
Lane,2010,,,,,,,,
Lincoln,2010,,,,,,,,
Linn,2010,,,,,,,,
Malheur,2010,,,,,,,,
Marion,2010,,,,,,,,
Morrow,2010,,,,,,,,
Multnomah,2010,,,,,,,,
Polk,2010,,,,,,,,
Sherman,2010,,,,,,,,
Tillamook,2010,,,,,,,,
Umatilla,2010,,,,,,,,
Union,2010,,,,,,,,
Wallowa,2010,,,,,,,,
Wasco,2010,,,,,,,,
Washington,2010,,,,,,,,
Wheeler,2010,,,,,,,,
Yamhill,2010,,,,,,,,
Baker,2040,,,,,,,,
Benton,2040,,,,,,,,
Clackamas,2040,,,,,,,,
Clatsop,2040,,,,,,,,
Columbia,2040,,,,,,,,
Coos,2040,,,,,,,,
Crook,2040,,,,,,,,
Curry,2040,,,,,,,,
Deschutes,2040,,,,,,,,
Douglas,2040,,,,,,,,
Gilliam,2040,,,,,,,,
Grant,2040,,,,,,,,
Harney,2040,,,,,,,,
Hood River,2040,,,,,,,,
Jackson,2040,,,,,,,,
Jefferson,2040,,,,,,,,
Josephine,2040,,,,,,,,
Klamath,2040,,,,,,,,
Lake,2040,,,,,,,,
Lane,2040,,,,,,,,
Lincoln,2040,,,,,,,,
Linn,2040,,,,,,,,
Malheur,2040,,,,,,,,
Marion,2040,,,,,,,,
Morrow,2040,,,,,,,,
Multnomah,2040,,,,,,,,
Polk,2040,,,,,,,,
Sherman,2040,,,,,,,,
Tillamook,2040,,,,,,,,
Umatilla,2040,,,,,,,,
Union,2040,,,,,,,,
Wallowa,2040,,,,,,,,
Wasco,2040,,,,,,,,
Washington,2040,,,,,,,,
Wheeler,2040,,,,,,,,
Yamhill,2040,,,,,,,,
