Geo,Year,FwyNoneCongChg.2010,FwyModCongChg.2010,FwyHvyCongChg.2010,FwySevCongChg.2010,FwyExtCongChg.2010,ArtNoneCongChg.2010,ArtModCongChg.2010,ArtHvyCongChg.2010,ArtSevCongChg.2010,ArtExtCongChg.2010
Albany,2010,0,0,0,0,0,0,0,0,0,0
Bend,2010,0,0,0,0,0,0,0,0,0,0
Corvallis,2010,0,0,0,0,0,0,0,0,0,0
Eugene,2010,0,0,0,0,0,0,0,0,0,0
Grants Pass,2010,0,0,0,0,0,0,0,0,0,0
Medford,2010,0,0,0,0,0,0,0,0,0,0
Portland,2010,0,0,0,0,0,0,0,0,0,0
Salem,2010,0,0,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0,0,0
Albany,2040,0,0,0,0.1,0.2,0,0,0,0,0
Bend,2040,0,0,0,0.1,0.2,0,0,0,0,0
Corvallis,2040,0,0,0,0.1,0.2,0,0,0,0,0
Eugene,2040,0,0,0,0.1,0.2,0,0,0,0,0
Grants Pass,2040,0,0,0,0.1,0.2,0,0,0,0,0
Medford,2040,0,0,0,0.1,0.2,0,0,0,0,0
Portland,2040,0,0,0,0.1,0.2,0,0,0,0,0
Salem,2040,0,0,0,0.1,0.2,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0,0,0
