county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
Multnomah,2005,113110,0,5,2,1,0,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,113310,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,114111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,114112,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,115114,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Multnomah,2005,115210,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,115310,0,5,2,0,1,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,212319,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,212321,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,212322,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,213112,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,213115,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,221112,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,221119,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
Multnomah,2005,221122,0,41,10,5,2,7,6,8,2,1,0,0,0,0,0
Multnomah,2005,221210,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Multnomah,2005,221320,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,236115,461,140,109,19,10,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,236116,435,11,4,3,1,1,0,1,1,0,0,0,0,0,0
Multnomah,2005,236117,815,92,72,13,3,1,1,1,1,0,0,0,0,0,0
Multnomah,2005,236118,1726,367,281,45,29,8,3,1,0,0,0,0,0,0,0
Multnomah,2005,236210,74,8,4,1,1,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,236220,2594,118,54,21,12,15,9,7,0,0,0,0,0,0,0
Multnomah,2005,237110,526,26,10,7,4,2,1,2,0,0,0,0,0,0,0
Multnomah,2005,237120,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,237130,92,11,6,2,1,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,237210,138,42,32,6,4,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,237310,213,16,5,3,5,2,1,0,0,0,0,0,0,0,0
Multnomah,2005,237990,484,17,6,4,1,1,5,0,0,0,0,0,0,0,0
Multnomah,2005,238110,1015,41,26,6,4,3,1,0,0,1,0,0,0,0,0
