ModelYear,AutoMpg,LtTruckMpg,TruckMpg,BusMpg,TrainMpg
1975,15.1,12.7,5.1,4.2,0.098265896
1976,16.6,13.2,5.1,4.1,0.098265896
1977,17.4,14.1,5.1,4.1,0.098265896
1978,19.2,13.7,5.1,4,0.098265896
1979,19.3,13.1,5.1,3.9,0.098265896
1980,22.6,17.1,5.3,3.9,0.098265896
1981,24.2,18.6,5.1,3.8,0.098265896
1982,25.6,19,5.2,3.8,0.098265896
1983,25.4,19.6,5.3,3.7,0.098265896
1984,26,19.3,5.5,3.7,0.098265896
1985,26.7,19.4,5.6,3.6,0.098265896
1986,27.7,20.2,5.6,3.6,0.098265896
1987,27.8,20.5,5.7,3.7,0.096335079
1988,28.3,20.2,5.8,3.7,0.085596708
1989,27.9,19.8,5.8,3.7,0.088016529
1990,27.5,19.8,5.8,3.8,0.10125523
1991,27.6,20.3,5.7,3.8,0.100729927
1992,27.5,19.9,5.8,3.7,0.096296296
1993,27.8,20.1,5.8,3.8,0.098576512
1994,27.7,19.7,5.8,3.8,0.120567376
1995,28.1,19.5,5.8,3.9,0.120138889
1996,28,19.9,5.9,3.8,0.117133956
1997,28,19.5,6.1,3.8,0.114127424
1998,28,19.8,6.1,3.6,0.11496063
1999,27.5,19.2,6,3.7,0.117067308
2000,27.3,19.4,6,3.6,0.114038877
2001,27.5,19.1,6,4,0.111498973
2002,27.4,19.1,5.9,4.3,0.119607843
2003,27.5,19.3,5.9,4.5,0.126824458
2004,27.6,19.2,5.7,4.5,0.121880651
2005,27.9,19.8,5.6,4.7,0.121190893
2006,27.7,20.2,5.6,4.7,0.121190893
2007,27.7,20.4,5.6,4.7,0.121190893
2008,30.9,23.3,5.6,4.7,0.121190893
2009,27.9,20,5.6,4.8,0.121190893
2010,29.2,20.9,5.6,4.8,0.121190893
2011,32.9,22.5,5.6,4.8,0.121190893
2012,37.6,24.3,5.6,4.8,0.121190893
2013,38.1,24.5,5.6,4.8,0.121190893
2014,39,24.9,5.6,4.8,0.121190893
2015,40.6,25.5,5.6,4.8,0.121190893
2016,42.1,26.2,5.6,4.8,0.121190893
2017,44.2,28,5.6,4.8,0.121190893
2018,46.5,30.4,5.6,4.8,0.121190893
2019,47.8,32.1,5.6,4.8,0.121190893
2020,49.1,32.7,5.6,4.8,0.121190893
2021,53,34.2,5.6,4.8,0.121190893
2022,55.5,35.8,5.6,4.8,0.121190893
2023,58.1,37.5,5.6,4.8,0.121190893
2024,60.9,39.3,5.6,4.8,0.121190893
2025,63.7,41.1,5.6,4.8,0.121190893
2026,63.7,41.1,5.6,4.8,0.121190893
2027,63.7,41.1,5.6,4.8,0.121190893
2028,63.7,41.1,5.6,4.8,0.121190893
2029,63.7,41.1,5.6,4.8,0.121190893
2030,63.7,41.1,5.6,4.8,0.121190893
2031,63.7,41.1,5.6,4.8,0.121190893
2032,63.7,41.1,5.6,4.8,0.121190893
2033,63.7,41.1,5.6,4.8,0.121190893
2034,63.7,41.1,5.6,4.8,0.121190893
2035,63.7,41.1,5.6,4.8,0.121190893
2036,63.7,41.1,5.6,4.8,0.121190893
2037,63.7,41.1,5.6,4.8,0.121190893
2038,63.7,41.1,5.6,4.8,0.121190893
2039,63.7,41.1,5.6,4.8,0.121190893
2040,63.7,41.1,5.6,4.8,0.121190893
2041,63.7,41.1,5.6,4.8,0.121190893
2042,63.7,41.1,5.6,4.8,0.121190893
2043,63.7,41.1,5.6,4.8,0.121190893
2044,63.7,41.1,5.6,4.8,0.121190893
2045,63.7,41.1,5.6,4.8,0.121190893
2046,63.7,41.1,5.6,4.8,0.121190893
2047,63.7,41.1,5.6,4.8,0.121190893
2048,63.7,41.1,5.6,4.8,0.121190893
2049,63.7,41.1,5.6,4.8,0.121190893
2050,63.7,41.1,5.6,4.8,0.121190893
