Region,DrvAgePop,NumVeh,Prob
Metro,1,1,0
Metro,1,2,0.775279374
Metro,1,3,0.162294427
Metro,1,4,0.052671587
Metro,1,5,0.005884979
Metro,1,6,0.003869632
Metro,1,7,0
Metro,1,8,0
Metro,1,9,0
Metro,1,10,0
Metro,1,11,0
Metro,1,12,0
Metro,1,13,0
Metro,1,14,0
Metro,1,15,0
Metro,2,1,0
Metro,2,2,0
Metro,2,3,0.757435732
Metro,2,4,0.171245803
Metro,2,5,0.047837229
Metro,2,6,0.018166133
Metro,2,7,0.005315104
Metro,2,8,0
Metro,2,9,0
Metro,2,10,0
Metro,2,11,0
Metro,2,12,0
Metro,2,13,0
Metro,2,14,0
Metro,2,15,0
Metro,3,1,0
Metro,3,2,0
Metro,3,3,0
Metro,3,4,0.739651341
Metro,3,5,0.180167454
Metro,3,6,0.043018924
Metro,3,7,0.030406505
Metro,3,8,0.006755776
Metro,3,9,0
Metro,3,10,0
Metro,3,11,0
Metro,3,12,0
Metro,3,13,0
Metro,3,14,0
Metro,3,15,0
Metro,4,1,0
Metro,4,2,0
Metro,4,3,0
Metro,4,4,0
Metro,4,5,0.721925907
Metro,4,6,0.18905953
Metro,4,7,0.038216592
Metro,4,8,0.042606299
Metro,4,9,0.008191672
Metro,4,10,0
Metro,4,11,0
Metro,4,12,0
Metro,4,13,0
Metro,4,14,0
Metro,4,15,0
Metro,5,1,0
Metro,5,2,0
Metro,5,3,0
Metro,5,4,0
Metro,5,5,0
Metro,5,6,0.704259138
Metro,5,7,0.197922177
Metro,5,8,0.033430153
Metro,5,9,0.054765717
Metro,5,10,0.009622816
Metro,5,11,0
Metro,5,12,0
Metro,5,13,0
Metro,5,14,0
Metro,5,15,0
Metro,6,1,0
Metro,6,2,0
Metro,6,3,0
Metro,6,4,0
Metro,6,5,0
Metro,6,6,0
Metro,6,7,0.686650742
Metro,6,8,0.206755539
Metro,6,9,0.02865953
Metro,6,10,0.066884958
Metro,6,11,0.011049231
Metro,6,12,0
Metro,6,13,0
Metro,6,14,0
Metro,6,15,0
Metro,7,1,0
Metro,7,2,0
Metro,7,3,0
Metro,7,4,0
Metro,7,5,0
Metro,7,6,0
Metro,7,7,0
Metro,7,8,0.669100431
Metro,7,9,0.215559764
Metro,7,10,0.023904644
Metro,7,11,0.078964221
Metro,7,12,0.01247094
Metro,7,13,0
Metro,7,14,0
Metro,7,15,0
Metro,8,1,0
Metro,8,2,0
Metro,8,3,0
Metro,8,4,0
Metro,8,5,0
Metro,8,6,0
Metro,8,7,0
Metro,8,8,0
Metro,8,9,0.651607918
Metro,8,10,0.224334993
Metro,8,11,0.019165417
Metro,8,12,0.091003704
Metro,8,13,0.013887968
Metro,8,14,0
Metro,8,15,0
Metro,9,1,0
Metro,9,2,0
Metro,9,3,0
Metro,9,4,0
Metro,9,5,0
Metro,9,6,0
Metro,9,7,0
Metro,9,8,0
Metro,9,9,0
Metro,9,10,0.634172918
Metro,9,11,0.233081371
Metro,9,12,0.014441772
Metro,9,13,0.103003603
Metro,9,14,0.015300337
Metro,9,15,0
Metro,10,1,0
Metro,10,2,0
Metro,10,3,0
Metro,10,4,0
Metro,10,5,0
Metro,10,6,0
Metro,10,7,0
Metro,10,8,0
Metro,10,9,0
Metro,10,10,0
Metro,10,11,0.616795147
Metro,10,12,0.24179904
Metro,10,13,0.009733631
Metro,10,14,0.114964113
Metro,10,15,0.016708069
NonMetro,1,1,0
NonMetro,1,2,0.730629429
NonMetro,1,3,0.19399416
NonMetro,1,4,0.046990461
NonMetro,1,5,0.018239586
NonMetro,1,6,0.010146364
NonMetro,1,7,0
NonMetro,1,8,0
NonMetro,1,9,0
NonMetro,1,10,0
NonMetro,1,11,0
NonMetro,1,12,0
NonMetro,1,13,0
NonMetro,1,14,0
NonMetro,1,15,0
NonMetro,2,1,0
NonMetro,2,2,0
NonMetro,2,3,0.705375095
NonMetro,2,4,0.197029044
NonMetro,2,5,0.066418387
NonMetro,2,6,0.021235067
NonMetro,2,7,0.009942406
NonMetro,2,8,0
NonMetro,2,9,0
NonMetro,2,10,0
NonMetro,2,11,0
NonMetro,2,12,0
NonMetro,2,13,0
NonMetro,2,14,0
NonMetro,2,15,0
NonMetro,3,1,0
NonMetro,3,2,0
NonMetro,3,3,0
NonMetro,3,4,0.679876149
NonMetro,3,5,0.200093323
NonMetro,3,6,0.086034492
NonMetro,3,7,0.024259563
NonMetro,3,8,0.009736473
NonMetro,3,9,0
NonMetro,3,10,0
NonMetro,3,11,0
NonMetro,3,12,0
NonMetro,3,13,0
NonMetro,3,14,0
NonMetro,3,15,0
NonMetro,4,1,0
NonMetro,4,2,0
NonMetro,4,3,0
NonMetro,4,4,0
NonMetro,4,5,0.654129018
NonMetro,4,6,0.203187428
NonMetro,4,7,0.105841523
NonMetro,4,8,0.027313496
NonMetro,4,9,0.009528535
NonMetro,4,10,0
NonMetro,4,11,0
NonMetro,4,12,0
NonMetro,4,13,0
NonMetro,4,14,0
NonMetro,4,15,0
NonMetro,5,1,0
NonMetro,5,2,0
NonMetro,5,3,0
NonMetro,5,4,0
NonMetro,5,5,0
NonMetro,5,6,0.628130062
NonMetro,5,7,0.206311795
NonMetro,5,8,0.12584228
NonMetro,5,9,0.0303973
NonMetro,5,10,0.009318563
NonMetro,5,11,0
NonMetro,5,12,0
NonMetro,5,13,0
NonMetro,5,14,0
NonMetro,5,15,0
NonMetro,6,1,0
NonMetro,6,2,0
NonMetro,6,3,0
NonMetro,6,4,0
NonMetro,6,5,0
NonMetro,6,6,0
NonMetro,6,7,0.601875569
NonMetro,6,8,0.20946687
NonMetro,6,9,0.14603962
NonMetro,6,10,0.033511413
NonMetro,6,11,0.009106528
NonMetro,6,12,0
NonMetro,6,13,0
NonMetro,6,14,0
NonMetro,6,15,0
NonMetro,7,1,0
NonMetro,7,2,0
NonMetro,7,3,0
NonMetro,7,4,0
NonMetro,7,5,0
NonMetro,7,6,0
NonMetro,7,7,0
NonMetro,7,8,0.575361751
NonMetro,7,9,0.21265311
NonMetro,7,10,0.166436456
NonMetro,7,11,0.036656285
NonMetro,7,12,0.008892398
NonMetro,7,13,0
NonMetro,7,14,0
NonMetro,7,15,0
NonMetro,8,1,0
NonMetro,8,2,0
NonMetro,8,3,0
NonMetro,8,4,0
NonMetro,8,5,0
NonMetro,8,6,0
NonMetro,8,7,0
NonMetro,8,8,0
NonMetro,8,9,0.548584749
NonMetro,8,10,0.215870977
NonMetro,8,11,0.187035758
NonMetro,8,12,0.039832374
NonMetro,8,13,0.008676143
NonMetro,8,14,0
NonMetro,8,15,0
NonMetro,9,1,0
NonMetro,9,2,0
NonMetro,9,3,0
NonMetro,9,4,0
NonMetro,9,5,0
NonMetro,9,6,0
NonMetro,9,7,0
NonMetro,9,8,0
NonMetro,9,9,0
NonMetro,9,10,0.521540622
NonMetro,9,11,0.219120945
NonMetro,9,12,0.207840555
NonMetro,9,13,0.043040148
NonMetro,9,14,0.00845773
NonMetro,9,15,0
NonMetro,10,1,0
NonMetro,10,2,0
NonMetro,10,3,0
NonMetro,10,4,0
NonMetro,10,5,0
NonMetro,10,6,0
NonMetro,10,7,0
NonMetro,10,8,0
NonMetro,10,9,0
NonMetro,10,10,0
NonMetro,10,11,0.494225356
NonMetro,10,12,0.222403496
NonMetro,10,13,0.228853938
NonMetro,10,14,0.046280082
NonMetro,10,15,0.008237128
