ModelYear,AutoRange,AutoPropEv,AutoMpkwh,LtTruckRange,LtTruckPropEv,LtTruckMpkwh
1975,0,0,0,0,0,0
1976,0,0,0,0,0,0
1977,0,0,0,0,0,0
1978,0,0,0,0,0,0
1979,0,0,0,0,0,0
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,0,0,0,0
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,0,0,0,0,0
1989,0,0,0,0,0,0
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,0,0
2009,0,0,0,0,0,0
2010,50,0.015,3.5,33.33333333,0.011666667,2
2011,60,0.03,3.525,40,0.023333333,2.025
2012,70,0.045,3.55,46.66666667,0.035,2.05
2013,80,0.06,3.575,53.33333333,0.046666667,2.075
2014,90,0.075,3.6,60,0.058333333,2.1
2015,103.125,0.09,3.625,68.75,0.07,2.125
2016,108.75,0.105,3.65,72.5,0.081666667,2.15
2017,114.375,0.12,3.675,76.25,0.093333333,2.175
2018,120,0.135,3.7,80,0.105,2.2
2019,125.625,0.15,3.725,83.75,0.116666667,2.225
2020,131.25,0.165,3.75,87.5,0.128333333,2.25
2021,136.875,0.18,3.775,91.25,0.14,2.275
2022,142.5,0.195,3.8,95,0.151666667,2.3
2023,148.125,0.21,3.825,98.75,0.163333333,2.325
2024,153.75,0.225,3.85,102.5,0.175,2.35
2025,159.375,0.24,3.875,106.25,0.186666667,2.375
2026,165,0.255,3.9,110,0.198333333,2.4
2027,170.625,0.27,3.925,113.75,0.21,2.425
2028,176.25,0.285,3.95,117.5,0.221666667,2.45
2029,181.875,0.3,3.975,121.25,0.233333333,2.475
2030,187.5,0.315,4,125,0.245,2.5
2031,193.125,0.33,4.025,128.75,0.256666667,2.525
2032,198.75,0.345,4.05,132.5,0.268333333,2.55
2033,204.375,0.36,4.075,136.25,0.28,2.575
2034,210,0.375,4.1,140,0.291666667,2.6
2035,215.625,0.405,4.125,143.75,0.315,2.625
2036,221.25,0.42,4.15,147.5,0.326666667,2.65
2037,226.875,0.45,4.175,151.25,0.35,2.675
2038,232.5,0.465,4.2,155,0.361666667,2.7
2039,238.125,0.495,4.225,158.75,0.385,2.725
2040,243.75,0.525,4.25,162.5,0.408333333,2.75
2041,249.375,0.555,4.275,166.25,0.431666667,2.775
2042,255,0.585,4.3,170,0.455,2.8
2043,260.625,0.615,4.325,173.75,0.478333333,2.825
2044,266.25,0.645,4.35,177.5,0.501666667,2.85
2045,271.875,0.675,4.375,181.25,0.525,2.875
2046,277.5,0.72,4.4,185,0.56,2.9
2047,283.125,0.75,4.425,188.75,0.583333333,2.925
2048,288.75,0.795,4.45,192.5,0.618333333,2.95
2049,294.375,0.855,4.475,196.25,0.665,2.975
2050,300,0.9,4.5,200,0.7,3
