Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
D1,2050,38363,10184,18234,71794,20983,33017
D2,2050,23886,7051,9917,41686,17348,26174
D3,2050,18611,4633,10773,39595,17981,32522
D4,2050,9222,3051,16986,37650,14912,34620
D5,2050,20410,6359,13429,26204,13343,28840
D6,2050,11974,3136,25670,51697,17007,23539
D7,2050,25967,7177,12617,36130,15875,26481
D8,2050,3207,835,5399,11068,3485,4933
D9,2050,26982,7407,12699,32818,13811,19312
D10,2050,16194,4256,7772,23857,10406,15523
D11,2050,22315,6514,10526,29800,12246,16475
D12,2050,26314,7104,11892,35231,14630,22449
D15,2050,8309,2576,4868,14096,5402,9949
D16,2050,4341,1378,2564,7022,2485,4868
D17,2050,39097,12376,22125,65086,23753,43618
D18,2050,34952,11073,19402,59651,21820,38133
D21,2050,2479,739,1665,4380,1471,2679
D22,2050,25993,7308,14883,37977,12378,21755
D23,2050,20443,6907,10976,33874,13545,18266
D24,2050,20500,6794,10593,37082,16545,20274
D31,2050,46233,16874,22433,79804,25229,47068
D32,2050,33672,13516,16289,63060,33632,45687
D33,2050,23506,8196,10124,37363,11100,21719
D34,2050,18510,4947,11740,26001,7543,23907
D35,2050,24507,5852,27961,49315,13986,40163
D36,2050,33148,7843,15694,50175,13519,35992
D41,2050,39032,5940,23070,57338,15685,39393
D43,2050,11172,2377,11997,26846,9935,24985
D44,2050,35118,8487,20798,52075,18810,42836
D45,2050,6857,1722,5141,11105,3781,10158
D46,2050,3925,989,3294,8250,3038,7552
D47,2050,28128,7040,15296,36682,14482,22004
D48,2050,35234,12346,17420,50129,18565,23861
D49,2050,32392,10388,15796,45362,16334,20600
D51,2050,21291,6897,11629,37555,13805,19283
D52,2050,22398,7329,13702,40236,15147,21923
D61,2050,12702,5054,6641,27177,11002,16611
D62,2050,12247,5019,6667,27215,11779,17406
D71,2050,85366,23063,35163,126463,40911,81869
D72,2050,84258,22050,46407,125376,41637,72611
D73,2050,40180,10670,16811,58004,18084,37116
D74,2050,56402,14320,31562,75130,26791,43930
D75,2050,28099,8341,15930,46053,20921,34614
D76,2050,41720,14184,17550,62617,27234,47348
D81,2050,19790,7252,11916,38785,15732,24873
D82,2050,17164,6261,10168,33133,13384,20633
D83,2050,30996,11242,18572,59286,23954,37746
D91,2050,13677,4106,6410,23466,9415,14680
D92,2050,13302,4214,7442,23374,8907,15607
D101,2050,21323,4536,9822,27253,10587,14455
D102,2050,17953,3807,8130,22579,8680,11864
D111,2050,6655,2222,4151,12927,4985,7074
D112,2050,4041,1342,2342,7821,3123,4155
D113,2050,7895,2574,4555,13810,4864,6827
D114,2050,16316,5554,10690,33276,13175,18222
D121,2050,10482,3181,6503,17479,6555,9491
D122,2050,5284,1600,3547,9022,3548,5160
D123,2050,14951,4676,9672,26378,10285,14848
D124,2050,3714,1104,2211,5966,2241,3188
D131,2050,9640,3415,5567,18336,6917,11632
D132,2050,26148,9697,14705,53218,20385,33331
D133,2050,4462,1536,2581,8219,2973,5130
D134,2050,6840,2435,3773,13238,4958,8329
D141,2050,28153,10568,15623,50348,17868,28850
D142,2050,44983,17398,25065,83976,30495,46732
D143,2050,23270,8738,11465,41637,14143,20380
D151,2050,14856,4559,8288,22266,9311,13378
D152,2050,40687,11618,20329,50739,19045,28282
D153,2050,25355,7980,13809,39525,16721,23248
D163,2050,28828,9155,16246,50783,18852,32923
D164,2050,5006,1515,2557,8568,3373,5553
D171,2050,12791,4313,7210,25023,9433,12423
D172,2050,6700,2268,4113,13668,5407,7349
D173,2050,35883,12723,22387,71868,26427,35859
D181,2050,12155,3994,7396,20460,7108,12957
D182,2050,7505,2687,4821,15559,6253,10686
D191,2050,21599,4599,9298,27796,10511,13980
D192,2050,18142,3865,8441,22997,9551,13027
