MsaCode,UrbanizedArea,RoadMiles,TotalDvmt,Population,Area,Density,RoadMileCap,FwyMiles,FwyLaneMi
0520,Atlanta,13283,99821,2805,1757,1596,4.7,300,2256
0640,Austin,3310,21063,641,305,2102,5.2,105,572
1122,Boston,10154,59595,3013,1138,2648,3.4,215,1312
1122,Worcester,1808,9382,370,263,1407,4.9,72,372
1122,Lawrence-Haverhill,1485,8662,310,205,1512,4.8,51,306
1280,"Buffalo-Niagara Falls",4006,21566,1114,564,1975,3.6,139,636
1520,Charlotte,2733,19559,663,299,2217,4.1,92,483
1520,Gastonia,874,4689,134,120,1117,6.5,19,103
1520,"Rock Hill",383,1844,70,43,1628,5.5,11,78
1602,"Chicago-Northwestern IN",23789,160894,7702,2730,2821,3.1,478,2655
1602,Kenosha,462,1751,107,41,2610,4.3,2,12
1642,Cincinnati,4906,33083,1176,630,1867,4.2,176,1002
1642,Hamilton,435,1935,118,61,1934,3.7,3,14
1692,Cleveland,5543,36638,1785,838,2130,3.1,227,1282
1692,Akron,2699,13293,547,356,1537,4.9,87,429
1840,Columbus,3435,26328,949,476,1994,3.6,150,879
1922,"Dallas-Fort Worth",17665,105887,3746,1727,2169,4.7,522,3071
2082,Denver,7146,45780,2025,720,2813,3.5,208,1029
2082,Boulder,372,1808,96,39,2462,3.9,12,49
2162,Detroit,13796,95118,3836,1304,2942,3.6,282,1808
2162,"Ann Arbor",989,7352,277,159,1742,3.6,50,241
2162,Flint,1698,9730,339,237,1430,5,61,323
3000,"Grand Rapids",2278,12348,530,318,1667,4.3,68,293
3000,Holland,407,1615,87,58,1500,4.7,13,52
3120,Greensboro,1307,7687,242,163,1485,5.4,55,259
3120,Winston-Salem,1470,7549,258,177,1458,5.7,58,264
3120,"High Point",1038,4717,129,167,772,8.1,36,181
3280,Hartford-Middletown,2605,16222,605,366,1653,4.3,108,618
3362,Houston,15196,93692,2487,1476,1685,6.1,368,2329
3362,Galveston,547,1158,60,35,1714,9.1,4,26
3480,Indianapolis,4295,30787,915,422,2168,4.7,130,724
3600,Jacksonville,4714,26662,886,727,1219,5.3,151,714
3760,"Kansas City",7781,41710,1427,1036,1377,5.5,369,1710
4120,"Las Vegas",3076,25402,1256,270,4652,2.4,84,479
4472,"Los Angeles",27072,282327,12770,2231,5724,2.1,673,5584
4472,"Riverside-San Bernardino",4740,34098,1435,514,2792,3.3,139,876
4520,Louisville,3764,22005,823,384,2143,4.6,137,670
4920,Memphis,3419,23268,928,420,2210,3.7,92,508
4992,Miami-Hialeah,6629,46506,2259,545,4145,2.9,120,728
4992,"Fort Lauderdale-Hollywood-Pompano Beach",5161,41273,1627,489,3327,3.2,109,721
5082,Milwaukee,5118,31984,1408,512,2750,3.6,111,603
5082,Racine,512,1780,141,39,3615,3.6,0,0
5120,"Minneapolis-St. Paul",11040,61716,2419,1192,2029,4.6,317,1597
5360,Nashville,2956,22971,669,571,1172,4.4,139,762
5560,"New Orleans",3288,15916,1065,270,3944,3.1,75,421
5602,"New York-Northeastern NJ",37687,268425,17146,3962,4328,2.2,1144,6763
5720,"Norfolk-VA Beach-Newport News",5564,34485,1520,952,1597,3.7,181,917
5880,"Oklahoma City",4718,26365,1083,647,1674,4.4,155,766
5960,Orlando,5893,39689,1202,667,1802,4.9,157,734
6162,Philadelphia,13458,78719,4288,1347,3183,3.1,347,1747
6162,Wilmington,1916,12927,510,243,2099,3.8,56,321
6162,"Atlantic City",1119,4321,191,89,2146,5.9,29,128
6200,Phoenix,9723,59381,2903,1054,2754,3.3,179,1144
6280,Pittsburgh,8469,35557,1569,1086,1445,5.4,284,1190
6442,Portland-Vancouver,5612,31758,1589,469,3388,3.5,137,702
6442,Salem,835,3281,209,69,3029,4,24,102
6480,Providence-Pawtucket,4404,19925,930,515,1806,4.7,120,645
6480,"Fall River",759,3804,166,116,1431,4.6,38,179
6640,Raleigh,2125,15815,488,276,1768,4.4,62,362
6640,Durham,1323,8229,266,214,1243,5,48,208
6840,Rochester,2637,15145,653,335,1949,4,100,498
6922,Sacramento,4567,29025,1340,383,3499,3.4,105,687
7040,"St. Louis",9142,59221,2054,1124,1827,4.5,320,1771
7160,"Salt Lake City",3343,21660,830,353,2351,4,79,523
7160,Ogden,1611,7101,278,188,1479,5.8,37,188
7240,"San Antonio",5072,30358,1143,481,2376,4.4,211,1052
7320,"San Diego",6186,65353,2692,733,3673,2.3,248,1796
7362,"San Francisco-Oakland",9326,87489,4066,1203,3380,2.3,334,2352
7362,"San Jose",4110,39120,1655,365,4534,2.5,126,891
7602,Seattle,7094,52007,2101,844,2489,3.4,241,1446
7602,Tacoma,2416,13914,613,341,1798,3.9,55,294
7602,Bremerton,631,2916,147,108,1361,4.3,22,95
8280,"Tampa-St Pete-Clearwater",9854,52670,1988,1294,1536,5,127,655
8872,Washington,10478,84154,3741,999,3745,2.8,309,1970
8872,Baltimore,6645,46470,2214,712,3110,3,278,1473
8960,"West Palm Beach-Boca Raton-Delray Beach",3486,27689,1062,556,1910,3.3,87,457
