County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,State
Bethel,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Nome,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Dillingham,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
NorthSlope,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
BristolBay,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Petersburg,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Denali,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,AK
PrinceofWalesHyder,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
FairbanksNorthStar,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,AK
Sitka,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Haines,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Skagway,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
HoonahAngoon,,,,,,,,,,,,,,AK
Juneau,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
SoutheastFairbanks,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,AK
NorthwestArctic,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
KenaiPeninsula,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,AK
KetchikanGateway,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
ValdezCordova,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
AleutiansEast,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
WadeHampton,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
AleutiansWest,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Wrangell,,,,,,,,,,,,,,AK
Anchorage,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,AK
KodiakIsland,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
Yakutat,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
YukonKoyukuk,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,AK
LakeandPeninsula,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,AK
MatanuskaSusitna,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,AK
Clarke,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Clay,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
