County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bethel,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Nome,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Dillingham,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
NorthSlope,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
BristolBay,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Petersburg,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Denali,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582
PrinceofWalesHyder,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
FairbanksNorthStar,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582
Sitka,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Haines,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Skagway,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
HoonahAngoon,,,,,,,,,,,,,
Juneau,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
SoutheastFairbanks,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042,0.82510042
NorthwestArctic,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
KenaiPeninsula,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582
KetchikanGateway,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
ValdezCordova,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
AleutiansEast,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
WadeHampton,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
AleutiansWest,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Wrangell,,,,,,,,,,,,,
Anchorage,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582
KodiakIsland,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
Yakutat,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
YukonKoyukuk,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067,0.6225414067
LakeandPeninsula,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619,0.5212619
MatanuskaSusitna,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582,1.2808582
Clarke,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Clay,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Cleburne,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Coffee,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Colbert,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107
Conecuh,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Coosa,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Covington,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Crenshaw,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Cullman,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107
Dale,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
Dallas,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842
