ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
1975,1,0,0,0,1,0,0,0
1976,1,0,0,0,1,0,0,0
1977,1,0,0,0,1,0,0,0
1978,1,0,0,0,1,0,0,0
1979,1,0,0,0,1,0,0,0
1980,1,0,0,0,1,0,0,0
1981,1,0,0,0,1,0,0,0
1982,1,0,0,0,1,0,0,0
1983,1,0,0,0,1,0,0,0
1984,1,0,0,0,1,0,0,0
1985,1,0,0,0,1,0,0,0
1986,1,0,0,0,1,0,0,0
1987,1,0,0,0,1,0,0,0
1988,1,0,0,0,1,0,0,0
1989,1,0,0,0,1,0,0,0
1990,1,0,0,0,1,0,0,0
1991,1,0,0,0,1,0,0,0
1992,1,0,0,0,1,0,0,0
1993,1,0,0,0,1,0,0,0
1994,1,0,0,0,1,0,0,0
1995,1,0,0,0,1,0,0,0
1996,1,0,0,0,1,0,0,0
1997,1,0,0,0,1,0,0,0
1998,1,0,0,0,1,0,0,0
1999,1,0,0,0,1,0,0,0
2000,1,0,0,0,1,0,0,0
2001,1,0,0,0,1,0,0,0
2002,1,0,0,0,1,0,0,0
2003,1,0,0,0,1,0,0,0
2004,1,0,0,0,1,0,0,0
2005,1,0,0,0,1,0,0,0
2006,1,0,0,0,1,0,0,0
2007,1,0,0,0,1,0,0,0
2008,1,0,0,0,1,0,0,0
2009,1,0,0,0,1,0,0,0
2010,0.968,0.032,0,0,0.9963,0.0037,0,0
2011,0.968,0.032,0,0,0.985,0.015,0,0
2012,0.96,0.04,0,0,0.97,0.03,0,0
2013,0.95,0.05,0,0,0.9625,0.0375,0,0
2014,0.91575,0.07425,0.0095,0.0005,0.94375,0.05625,0,0
2015,0.882,0.098,0.0188,0.0012,0.925,0.075,0,0
2016,0.8526,0.1274,0.0186,0.0014,0.893475,0.096525,0.0093,0.0007
2017,0.8036,0.1764,0.0184,0.0016,0.85635,0.13365,0.0092,0.0008
2018,0.7566,0.2134,0.0273,0.0027,0.82665,0.16335,0.0091,0.0009
2019,0.672,0.288,0.036,0.004,0.76725,0.22275,0.009,0.001
2020,0.562962963,0.387037037,0.0445,0.0055,0.6875,0.3025,0.0089,0.0011
2021,0.504814815,0.435185185,0.0528,0.0072,0.639722222,0.340277778,0.0176,0.0024
2022,0.457407407,0.492592593,0.0435,0.0065,0.598888889,0.381111111,0.0174,0.0026
2023,0.387037037,0.562962963,0.043,0.007,0.55,0.44,0.0086,0.0014
2024,0.334259259,0.615740741,0.0425,0.0075,0.50875,0.48125,0.0085,0.0015
2025,0.281481481,0.668518519,0.042,0.008,0.4675,0.5225,0.0084,0.0016
2026,0.263888889,0.686111111,0.0415,0.0085,0.45375,0.53625,0.0083,0.0017
2027,0.228703704,0.721296296,0.041,0.009,0.421944445,0.558055555,0.0164,0.0036
2028,0.208888889,0.731111111,0.0486,0.0114,0.408333334,0.571666666,0.0162,0.0038
2029,0.174074074,0.765925926,0.048,0.012,0.381111111,0.598888889,0.016,0.004
2030,0.156666667,0.783333333,0.0474,0.0126,0.3675,0.6125,0.0158,0.0042
2031,0.137777778,0.792222222,0.0546,0.0154,0.353888889,0.626111111,0.0156,0.0044
2032,0.137777778,0.792222222,0.0539,0.0161,0.353888889,0.626111111,0.0154,0.0046
2033,0.120555556,0.809444444,0.0532,0.0168,0.340277778,0.639722222,0.0152,0.0048
2034,0.102222222,0.817777778,0.06,0.02,0.326666666,0.653333334,0.015,0.005
2035,0.085185186,0.834814814,0.0592,0.0208,0.313055555,0.666944445,0.0148,0.0052
2036,0.085185186,0.834814814,0.0584,0.0216,0.313055555,0.666944445,0.0146,0.0054
2037,0.068148148,0.851851852,0.0576,0.0224,0.299444445,0.680555555,0.0144,0.0056
2038,0.067407407,0.842592593,0.0639,0.0261,0.299444445,0.680555555,0.0142,0.0058
2039,0.050555556,0.859444444,0.063,0.027,0.282916667,0.687083333,0.021,0.009
2040,0.05,0.85,0.069,0.031,0.282916667,0.687083333,0.0207,0.0093
2041,0.05,0.85,0.069,0.031,0.282916667,0.687083333,0.0207,0.0093
2042,0.033333333,0.866666667,0.069,0.031,0.269444445,0.700555555,0.0207,0.0093
2043,0.032962963,0.857037037,0.0759,0.0341,0.269444445,0.700555555,0.0207,0.0093
2044,0.016481482,0.873518518,0.0759,0.0341,0.255972222,0.714027778,0.0207,0.0093
2045,0.016296297,0.863703703,0.0828,0.0372,0.255972222,0.714027778,0.0207,0.0093
2046,0.016296297,0.863703703,0.0828,0.0372,0.255972222,0.714027778,0.0207,0.0093
2047,0.016111112,0.853888888,0.0897,0.0403,0.253333333,0.706666667,0.0276,0.0124
2048,0,0.87,0.0897,0.0403,0.24,0.72,0.0276,0.0124
2049,0,0.86,0.0966,0.0434,0.24,0.72,0.0276,0.0124
2050,0,0.86,0.0966,0.0434,0.24,0.72,0.0276,0.0124
