Area,FwyDvmt000,FwyLnMi,ArtDvmt000,ArtLnMi,FwyVmtModPct,FwyVmtHvyPct,FwyVmtSevPct,FwyVmtExtPct,ArtVmtModPct,ArtVmtHvyPct,ArtVmtSevPct,ArtVmtExtPct,FwyAveModSpd,FwyAveHvySpd,FwyAveSevSpd,FwyAveExtSpd,ArtAveModSpd,ArtAveHvySpd,ArtAveSevSpd,ArtAveExtSpd,Pop000,SqMi
Akron OH,5530,430,4385,1190,35,9,4,2,16.2,9.3,2.4,2.1,51.9,45,41.8,24.3,25.3,23.5,22.5,20.9,620,390
Albany-Schenectady NY,7005,615,5260,1175,9.5,17.9,6.7,1.1,18,14.4,15.6,12,48.8,43.3,35.7,19.7,24.9,23.6,22.5,21,595,410
Albuquerque NM,4875,335,7470,1590,10.2,9,20.4,20.4,22,11.6,7.2,14.3,52.9,46.9,37.7,26.6,25.2,23.9,22.6,20.6,585,285
Allentown-Bethlehem PA-NJ,4935,415,5630,965,10.8,3.6,15.6,0,18.9,22.4,19.6,9.1,51,47.3,37.1,27.1,25.1,23.5,22.5,21.2,625,340
Anchorage AK,1560,195,2220,395,5,0,0,0,29.9,13,7.2,15,50.5,41.4,30.3,22.8,25.1,23.7,22.6,20.6,290,230
Atlanta GA,47830,2525,44825,7570,10.2,22.1,35.7,17,18.2,18.2,13.3,20.3,52,46.8,34.6,25.6,24.9,23.6,22.4,20.5,4440,3075
Austin TX,9400,585,8040,1220,20.3,18,18,18.8,19.5,22.5,12.8,20.3,51.8,45.1,36.4,26.1,24.9,23.6,22.4,20.6,1035,525
Bakersfield CA,2275,200,4600,1085,9,26.1,9.9,0,18.5,14.9,4.1,7.7,49.2,42.8,32.2,25.7,25,23.7,22.5,20.6,510,225
Baltimore MD,26670,1560,18555,3255,12,12.8,40.8,14.4,19.5,13.7,15.6,16.3,52,46.4,36.5,26.1,25.1,23.5,22.4,20.6,2320,770
Beaumont TX,2400,205,2935,830,4,10.2,5.8,0,13.5,9.3,2.4,4.8,47.2,43.9,32,21.9,24.9,23.8,22.5,20.5,225,195
