State,Motorcycle,Auto,LightTruck,Bus,SingleTruck,CombiTruck,Total
AL,0.9,59.0,25.3,1.2,5.4,8.3,100.0
AK,0.3,52.6,36.8,0.2,8.5,1.7,100.0
AZ,0.4,68.8,21.0,0.5,4.2,5.2,100.0
AR,0.8,53.5,30.1,0.5,2.6,12.5,100.0
CA,0.7,56.2,25.7,0.2,5.2,11.9,100.0
CO,1.6,57.9,32.9,0.7,2.4,4.6,100.0
CT,1.5,76.7,15.9,0.1,3.4,2.5,100.0
DE,1.2,71.8,16.3,0.8,5.9,4.0,100.0
FL,0.6,62.3,24.9,0.5,5.0,6.7,100.0
GA,1.3,57.5,24.4,1.3,8.2,7.4,100.0
HI,0.6,79.8,15.1,0.6,2.6,1.3,100.0
ID,1.5,44.5,40.4,0.3,12.5,0.8,100.0
IL,0.7,79.1,7.9,0.6,3.9,7.8,100.0
IN,0.8,58.3,22.7,0.8,4.9,12.5,100.0
IA,0.5,66.4,18.6,0.7,3.8,10.0,100.0
KS,0.7,59.1,25.4,0.1,2.5,12.2,100.0
KY,1.1,64.4,21.6,0.9,5.4,6.6,100.0
LA,0.2,54.2,26.5,0.5,7.8,10.8,100.0
ME,1.3,69.0,19.8,0.9,4.4,4.6,100.0
MD,0.4,70.7,18.6,0.7,4.0,5.6,100.0
MA,0.8,80.6,14.0,0.9,1.9,1.8,100.0
MI,1.1,65.9,23.2,0.3,2.5,7.0,100.0
MN,0.9,63.7,26.6,0.3,3.1,4.3,99.0
MS,0.3,59.3,23.8,0.7,4.3,11.6,100.0
MO,0.7,58.6,25.2,0.4,4.2,10.9,100.0
MT,1.3,50.6,37.8,0.5,2.5,7.3,100.0
NE,0.5,53.2,33.6,0.2,2.7,9.9,100.0
NV,0.4,82.2,5.5,0.6,2.9,8.5,100.0
NH,1.8,71.0,20.0,0.5,3.4,3.4,100.0
NJ,0.2,76.4,17.3,0.3,2.8,3.1,100.0
NM,0.5,49.1,28.4,1.6,9.9,10.5,100.0
NY,0.7,70.6,20.3,0.5,2.9,5.0,100.0
NC,0.5,68.7,19.1,0.7,4.4,6.6,100.0
ND,1.9,41.0,31.6,1.1,7.1,17.3,100.0
OH,1.0,65.0,18.0,0.0,3.0,13.0,100.0
OK,0.5,46.0,32.6,0.4,7.5,13.1,100.0
OR,1.1,53.2,29.1,0.8,7.9,8.0,100.0
PA,0.8,58.5,14.3,0.4,7.1,18.8,100.0
RI,0.6,76.1,19.1,0.1,1.9,2.2,100.0
SC,0.6,73.9,16.9,0.8,3.3,4.5,100.0
SD,1.4,52.8,29.3,0.2,14.2,2.1,100.0
TN,1.4,64.3,25.1,0.1,3.0,6.1,100.0
TX,0.4,52.4,28.6,0.2,6.7,11.6,100.0
UT,0.5,48.6,22.4,1.0,14.1,13.3,100.0
VT,1.5,66.1,22.5,0.9,5.5,3.4,100.0
VA,0.5,70.3,21.6,0.6,1.8,5.2,100.0
WA,0.5,58.2,28.5,0.3,7.0,5.5,100.0
WV,1.1,66.3,22.5,0.7,5.2,4.2,100.0
WI,0.7,65.3,17.7,1.0,7.4,7.9,100.0
WY,0.4,45.5,42.6,0.5,2.3,8.7,100.0
DC,NA,NA,NA,NA,NA,NA,NA
PR,0.4,72.2,18.8,0.6,4.6,3.5,100.0
