State,Motorcycle,Auto,LightTruck,Bus,SingleTruck,CombiTruck,Total
AL,0.6,57.1,17.5,0.7,5.6,18.5,100
AK,0.5,53.7,33.3,0.2,8.6,3.7,100
AZ,0.3,59.3,14.6,0.7,3,22.1,100
AR,0.3,41.6,20.7,1.1,2.7,33.6,100
CA,0.5,50.4,23.5,0.2,5,20.5,100
CO,0.4,66.8,20.5,0.3,1.8,10.4,100
CT,0,74.3,13.6,0.3,3.6,8.2,100
DE,NA,NA,NA,NA,NA,NA,NA
FL,0.3,62.1,19.7,0.6,3.8,13.6,100
GA,0.3,61.5,16.2,0.7,2.8,18.4,100
HI,0.5,75.7,19.5,0.3,2.1,1.9,100
ID,0.7,37.4,32.3,0.3,25.7,3.6,100
IL,0.7,61.7,8.5,1,3.2,24.9,100
IN,0.4,49.5,15.1,1.1,3.5,30.4,100
IA,0.4,59.4,13.2,0.7,2.6,23.8,100
KS,0.7,55,19.4,0.2,2.6,22.1,100
KY,0.6,63.4,11.6,0.8,2.6,21,100
LA,0.2,56.3,20.2,0.4,6,16.9,100
ME,0.6,61.4,22.5,0.3,3.3,11.9,100
MD,0.4,66,16.7,0.9,3.7,12.2,100
MA,0.9,81.4,7.7,5.8,1.7,2.5,100
MI,0.9,66.9,18.7,0.2,2.5,10.8,100
MN,0.9,61.6,25.8,0.5,2.9,8.2,99.8
MS,0.2,52,22.6,0.8,4.4,20,100
MO,1.2,47.8,16.9,0.7,3.9,29.5,100
MT,0.9,47.3,29,0.7,3.3,18.8,100
NE,0.3,44.2,20.9,0.2,2,32.5,100
NV,0.1,67.9,7.6,0.6,2.7,21.1,100
NH,0.6,65.7,25.5,0.3,3.2,4.7,100
NJ,0.1,71.8,16.5,0.4,9,2.3,100
NM,0.5,41.2,16.7,2.6,6.9,32.1,100
NY,0.5,70.3,13.6,0.5,2.1,13,100
NC,0.4,65,13.4,0.6,3.2,17.4,100
ND,3.5,49.6,25.7,1.4,6,13.8,100
OH,0,55,13,0,3,29,100
OK,0.3,40.8,25.9,0.5,5.2,27.5,100
OR,0.5,45.8,24.5,0.2,3.7,25.3,100
PA,0.8,51.7,14,0.9,12.5,20.2,100
RI,0.1,60.4,26.2,0.6,3.1,9.6,100
SC,0.2,68.1,14.1,0.7,2.4,14.5,100
SD,2.4,54,21.8,0.3,18.4,3.1,100
TN,3.9,49,18.8,0.3,5.3,22.7,100
TX,0.4,50.6,18.9,0.3,4.6,25.2,100
UT,1,41.1,16.5,1.3,8.8,31.4,100
VT,0.9,68.1,15.4,1.4,4.9,9.3,100
VA,0.3,65.1,15.4,0.7,1.5,17,100
WA,0.3,56.2,26.5,0.3,5.5,11.3,100
WV,0.3,61.4,17,0.9,3.9,16.5,100
WI,0.5,63.3,11.5,0.9,8.4,15.4,100
WY,0.3,34.3,29.9,0.5,1.8,33.2,100
DC,NA,NA,NA,NA,NA,NA,NA
PR,0.3,77.3,4.0,0.3,3.5,14.8,100
