State,Motorcycle,Auto,LightTruck,Bus,SingleTruck,CombiTruck,Total
AL,1.1,64.3,24.4,1.1,4.9,4.3,100.0
AK,0.1,61.2,32.3,0.1,6.0,0.4,100.0
AZ,0.7,65.8,20.6,0.6,4.5,7.7,100.0
AR,0.8,55.1,35.0,0.6,2.7,5.9,100.0
CA,0.2,72.8,23.1,0.4,1.6,1.8,100.0
CO,1.5,54.6,38.9,0.6,2.7,1.7,100.0
CT,0.9,79.9,17.2,0.0,1.7,0.3,100.0
DE,0.6,74.7,18.0,0.8,4.9,1.0,100.0
FL,0.7,61.7,27.1,0.6,4.5,5.4,100.0
GA,0.7,52.3,29.7,1.3,8.5,7.5,100.0
HI,1.1,69.4,27.3,0.4,1.4,0.5,100.0
ID,1.3,47.5,41.5,0.7,8.8,0.3,100.0
IL,0.9,82.5,8.2,1.0,4.0,3.4,100.0
IN,1.0,64.6,25.4,0.5,4.0,4.5,100.0
IA,0.0,93.3,0.3,0.0,3.8,2.6,100.0
KS,0.8,57.5,32.3,0.1,3.0,6.4,100.0
KY,1.0,65.5,24.0,0.9,5.4,3.2,100.0
LA,0.2,56.9,28.5,0.8,6.9,6.7,100.0
ME,1.3,67.7,21.6,1.0,5.3,3.1,100.0
MD,0.5,68.5,21.6,0.7,6.0,2.8,100.0
MA,0.9,77.8,18.0,0.3,2.2,0.8,100.0
MI,1.6,71.7,24.0,0.0,1.3,1.4,100.0
MN,0.9,64.1,26.8,0.8,3.1,4.2,100.0
MS,0.4,65.1,26.6,0.6,4.2,3.1,100.0
MO,0.4,59.5,29.4,0.3,4.5,5.9,100.0
MT,0.7,47.4,41.5,0.7,4.9,4.8,100.0
NE,0.5,46.1,44.0,0.2,3.5,5.7,100.0
NV,0.5,88.4,3.5,0.7,2.5,4.4,100.0
NH,1.6,71.9,20.0,0.6,4.4,1.5,100.0
NJ,0.3,68.9,26.2,0.1,3.1,1.4,100.0
NM,0.5,51.5,30.8,1.2,11.2,4.8,100.0
NY,0.8,70.6,22.7,0.4,3.6,1.9,100.0
NC,0.7,69.3,20.8,0.8,4.6,3.8,100.0
ND,1.1,38.5,34.7,2.1,8.9,14.7,100.0
OH,1.0,72.0,21.0,0.0,2.0,4.0,100.0
OK,0.4,51.2,31.3,0.4,8.5,8.2,100.0
OR,0.9,46.0,41.3,0.5,8.6,2.7,100.0
PA,0.9,63.5,15.5,0.4,7.5,12.4,100.0
RI,0.6,76.3,20.3,0.1,1.8,0.9,100.0
SC,0.5,70.9,18.3,0.7,5.0,4.6,100.0
SD,2.1,41.5,44.7,0.0,9.0,2.7,100.0
TN,0.9,68.8,27.3,0.0,1.9,1.1,100.0
TX,0.6,49.2,33.0,0.3,8.4,8.5,100.0
UT,0.7,50.2,22.6,0.3,12.8,13.4,100.0
VT,1.4,65.8,25.8,0.7,5.1,1.3,100.0
VA,0.6,70.8,24.3,0.7,2.0,1.7,100.0
WA,0.8,55.3,32.1,0.2,8.0,3.6,100.0
WV,1.1,66.3,25.3,0.8,4.8,1.7,100.0
WI,0.8,58.3,28.5,1.0,8.2,3.2,100.0
WY,0.3,36.9,50.0,0.5,3.1,9.2,100.0
DC,NA,NA,NA,NA,NA,NA,NA
PR,0.6,73.5,18.6,0.5,4.1,2.6,100.0
