State,Motorcycle,Auto,LightTruck,Bus,SingleTruck,CombiTruck,Total
AL,1.1,66.3,23.0,0.3,3.6,5.8,100.0
AK,0.3,63.8,30.7,0.1,4.5,0.7,100.0
AZ,0.7,65.4,27.7,0.4,3.2,2.7,100.0
AR,0.6,69.7,24.4,0.6,2.4,2.2,100.0
CA,0.3,74.2,22.8,0.4,1.4,1.0,100.0
CO,1.0,72.4,23.8,0.7,1.7,0.4,100.0
CT,0.9,81.7,14.8,0.0,2.2,0.5,100.0
DE,0.4,67.0,20.4,2.0,7.8,2.4,100.0
FL,0.8,73.6,18.7,0.6,3.5,2.8,100.0
GA,0.5,72.0,21.7,0.6,3.8,1.5,100.0
HI,1.0,74.3,21.6,0.6,1.9,0.6,100.0
ID,1.1,56.4,37.0,0.4,4.4,0.8,100.0
IL,0.8,85.2,8.5,0.8,2.6,2.1,100.0
IN,0.9,71.8,21.1,0.7,3.8,1.7,100.0
IA,0.0,99.3,0.0,0.0,0.5,0.2,100.0
KS,0.9,76.2,21.4,0.0,1.0,0.5,100.0
KY,0.8,74.9,17.9,0.6,3.7,2.1,100.0
LA,0.4,60.3,27.9,0.9,6.0,4.5,100.0
ME,0.9,74.7,19.6,0.7,3.1,1.0,100.0
MD,0.4,78.8,15.1,0.7,3.9,1.1,100.0
MA,0.9,78.2,17.2,0.4,2.8,0.5,100.0
MI,2.1,51.2,38.8,0.1,1.2,6.6,100.0
MN,1.0,67.7,28.3,0.3,1.8,0.9,100.0
MS,0.4,73.7,20.6,0.5,3.0,1.8,100.0
MO,0.4,66.5,26.2,0.3,3.6,3.0,100.0
MT,0.3,61.5,35.4,1.3,1.3,0.2,100.0
NE,0.3,73.2,24.3,0.1,1.5,0.7,100.0
NV,0.2,91.9,3.9,0.6,2.6,0.8,100.0
NH,1.3,71.4,19.9,0.8,4.4,2.2,100.0
NJ,0.1,74.3,21.3,0.2,2.6,1.5,100.0
NM,0.4,59.4,29.5,0.6,8.8,1.3,100.0
NY,0.7,76.3,18.7,0.5,3.0,0.8,100.0
NC,0.7,75.6,17.4,1.1,3.9,1.4,100.0
ND,1.4,46.8,36.7,1.3,8.3,5.5,100.0
OH,1.0,80.0,16.0,0.0,1.0,2.0,100.0
OK,0.4,65.0,26.2,0.3,5.7,2.4,100.0
OR,0.7,60.8,29.3,1.5,5.0,2.7,100.0
PA,1.0,76.4,17.5,0.3,4.1,0.7,100.0
RI,0.4,81.8,14.8,0.2,1.2,1.6,100.0
SC,1.2,74.5,15.0,0.4,5.1,3.8,100.0
SD,2.3,65.8,27.2,0.0,3.1,1.6,100.0
TN,1.3,65.0,25.4,0.1,2.9,5.3,100.0
TX,0.0,62.4,29.8,0.2,5.1,2.6,100.0
UT,0.6,59.3,23.4,0.6,10.5,5.7,100.0
VT,0.8,72.9,20.7,0.7,3.6,1.3,100.0
VA,0.4,81.1,16.2,0.6,1.2,0.5,100.0
WA,0.4,61.4,30.7,0.2,4.9,2.5,100.0
WV,0.8,73.9,20.3,0.6,3.4,1.0,100.0
WI,0.5,71.7,21.0,0.9,5.2,0.7,100.0
WY,0.3,64.3,32.0,0.7,1.4,1.3,100.0
DC,0.2,83.7,13.3,1.2,1.4,0.2,100.0
PR,1.2,74.4,18.6,0.5,4.2,1.1,100.0
