"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0000045","01200",27,0,2,"02",26000
"0000159","01305",0,1,1,"  ",0
"0000467","00300",6,0,2,"02",32600
"0000705","01312",27,0,4,"02",75000
"0000833","00100",15,0,7,"02",90000
"0001051","00701",6,0,2,"02",51800
"0001177","01308",21,0,6,"02",132400
"0001270","01309",28,0,3,"02",53200
"0001347","00500",15,0,2,"02",35100
"0001419","00900",33,0,0,"01",0
"0001535","01304",24,0,2,"03",83800
"0001537","01102",24,0,2,"01",17500
"0001791","01200",6,0,2,"02",65000
"0001942","01306",21,0,2,"02",134600
"0001957","00400",28,0,2,"02",31500
"0001990","01102",18,0,1,"01",40000
"0002028","01313",31,0,2,"02",54700
"0002189","01308",36,0,6,"06",53520
"0002197","00500",21,0,4,"02",72900
"0002463","00200",10,0,5,"02",35500
"0002732","01101",24,0,3,"07",28000
"0002873","01101",24,0,0,"01",0
"0003058","00500",19,0,1,"01",11500
"0003229","00800",9,0,4,"01",64900
"0003539","01303",18,0,1,"05",25000
"0003769","00900",28,0,2,"03",-11800
"0003786","01200",21,0,1,"06",37000
"0003851","00701",10,0,0,"02",0
"0003913","00300",0,1,1,"  ",0
"0004011","01101",21,0,1,"09",10530
"0004100","00500",10,0,0,"02",0
"0004230","00702",12,0,3,"02",51800
"0004366","01308",24,0,3,"02",122184
"0004518","01304",30,0,1,"06",5000
"0004659","00300",12,0,1,"02",57000
"0004836","01306",27,0,4,"02",91700
"0004837","00900",18,0,2,"08",33000
"0004867","00900",15,0,1,"05",30000
"0004976","00600",27,0,1,"02",15000
"0005295","00200",9,0,5,"02",1e+05
"0005556","00100",6,0,4,"01",30000
"0005695","01310",31,0,2,"02",89500
"0005749","00600",43,0,4,"02",61760
"0005847","01307",27,0,4,"02",116000
"0005913","00600",19,0,2,"07",940
"0006024","00702",24,0,2,"03",23600
"0006095","00400",0,1,1,"  ",0
"0006156","00600",21,0,2,"01",49300
"0006157","01312",27,0,1,"09",46100
"0006189","01306",22,0,1,"09",18700
"0006456","00500",16,0,1,"02",45000
"0006527","00600",21,0,2,"01",41110
"0006535","01303",23,0,0,"02",0
"0006555","01301",19,0,1,"07",23100
"0006641","01311",37,0,0,"06",0
"0006757","00100",24,0,4,"05",23000
"0006881","01304",22,0,1,"02",90000
"0006996","01302",19,0,1,"02",39000
"0007045","00200",9,0,2,"02",56190
"0007123","01304",18,0,1,"09",8000
"0007189","00500",22,0,5,"02",47100
"0007405","00600",24,0,2,"02",50400
"0007646","01309",25,0,1,"09",12400
"0007818","01101",21,0,4,"02",39300
"0007866","00600",18,0,2,"02",80000
"0007978","00300",30,0,7,"02",60000
"0008026","00600",30,0,2,"07",12100
"0008367","01306",21,0,1,"02",25770
"0008410","01200",24,0,2,"02",89800
"0008499","01200",25,0,3,"04",49000
"0008633","00900",12,0,2,"01",20000
"0008835","00900",12,0,2,"02",38000
"0009204","01310",20,0,0,"06",0
"0009441","00701",8,0,2,"02",25700
"0009443","00500",21,0,1,"01",30000
"0009495","00500",12,0,2,"01",22000
"0009508","01102",10,0,3,"02",50530
"0009685","00500",24,0,2,"02",28400
"0009882","00500",18,0,2,"02",299000
"0009890","00702",24,0,4,"02",38030
"0010141","00100",15,0,2,"02",41550
"0010154","01310",30,0,2,"09",66000
"0010193","01307",28,0,5,"02",72000
"0010335","00800",18,0,7,"01",6800
"0010595","01311",6,0,4,"02",86000
"0010707","00300",6,0,1,"02",20000
"0010867","00100",31,0,2,"01",30000
"0011020","00200",9,0,2,"02",56100
"0011116","01200",18,0,2,"03",12000
"0011364","01310",6,0,4,"02",113530
"0011500","00300",6,0,2,"02",76700
"0011843","00300",15,0,3,"02",67300
"0011938","00600",3,0,2,"02",39300
