SERIALNO,AGE,WRKLYR,INCTOT
0000045,68,2,20600
0000045,64,2,5400
0000159,72,2,15100
0000467,89,2,22100
0000467,50,1,10500
0000705,52,1,70000
0000705,50,1,5000
0000705,16,2,0
0000705,10,0,NA
0000833,47,1,60000
0000833,46,1,5000
0000833,21,1,10000
0000833,18,1,5700
0000833,12,0,NA
0000833,9,0,NA
0000833,65,2,9300
0001051,74,2,15200
0001051,63,2,36600
0001177,40,1,130000
0001177,42,1,2400
0001177,9,0,NA
0001177,7,0,NA
0001177,6,0,NA
0001177,4,0,NA
0001270,89,1,30800
0001270,76,1,8400
0001270,23,1,14000
0001347,61,1,35100
0001347,64,2,0
0001535,35,1,32800
0001535,28,1,51000
0001537,35,2,0
0001537,42,1,17500
0001791,50,1,45000
0001791,51,1,20000
0001942,71,1,119600
0001942,77,2,15000
0001957,72,2,25600
0001957,67,2,5900
0001990,46,1,40000
0002028,38,1,50300
0002028,34,1,4400
0002189,38,1,30000
0002189,10,0,NA
0002189,4,0,NA
0002189,0,0,NA
0002189,16,1,120
0002189,30,1,23400
0002197,41,1,37500
0002197,41,1,35400
0002197,15,0,0
0002197,11,0,NA
0002463,31,1,35000
0002463,26,1,500
0002463,4,0,NA
0002463,2,0,NA
0002463,0,0,NA
0002732,39,1,27000
0002732,16,1,1000
0002732,14,0,NA
0003058,73,2,11500
0003229,46,1,58000
0003229,48,1,4000
0003229,17,1,2900
0003229,16,2,0
0003539,51,1,25000
0003769,55,1,-5900
0003769,48,1,-5900
0003786,42,1,37000
0003913,85,2,4100
0004011,80,2,10530
0004230,20,1,12800
0004230,21,1,39000
0004230,20,2,0
0004366,53,1,18300
0004366,56,1,89780
0004366,23,1,14104
0004518,25,1,5000
0004659,39,1,57000
0004836,34,1,55000
0004836,36,1,35200
0004836,17,1,1500
0004836,9,0,NA
0004837,20,1,23000
0004837,18,1,10000
0004867,30,1,30000
0004976,52,1,15000
0005295,31,1,70000
0005295,32,1,30000
0005295,9,0,NA
0005295,5,0,NA
0005295,1,0,NA
0005556,35,1,30000
0005556,35,2,0
0005556,15,0,0
0005556,18,2,0
0005695,40,1,35000
0005695,40,1,54500
0005749,36,1,26360
0005749,15,0,0
0005749,13,0,NA
0005749,46,1,35400
0005847,39,1,54000
0005847,40,1,60000
0005847,7,0,NA
0005847,18,1,2000
0005913,19,2,0
0005913,21,1,940
0006024,68,2,17800
0006024,65,2,5800
0006095,79,2,0
0006156,61,1,48500
0006156,59,1,800
0006157,93,2,46100
0006189,77,2,18700
0006456,57,1,45000
0006527,52,1,41110
0006527,44,2,0
0006555,35,1,23100
0006757,48,1,23000
0006757,45,2,0
0006757,16,2,0
0006757,15,0,0
0006881,41,1,90000
0006996,52,1,39000
0007045,43,1,56190
0007045,10,0,NA
0007123,59,1,8000
0007189,32,1,46000
0007189,32,1,1100
0007189,15,0,0
0007189,13,0,NA
0007189,11,0,NA
0007405,29,1,10400
0007405,26,1,40000
0007646,93,2,12400
0007818,34,1,28000
0007818,33,1,11300
0007818,8,0,NA
0007818,6,0,NA
0007866,50,1,52000
0007866,53,1,28000
0007978,41,1,25500
0007978,37,1,25500
0007978,19,1,5000
0007978,18,1,2000
0007978,18,1,2000
0007978,15,0,0
0007978,10,0,NA
0008026,38,1,6000
0008026,34,2,6100
0008367,62,1,25770
0008410,56,1,85200
0008410,54,2,4600
0008499,31,1,24000
0008499,28,1,25000
0008499,3,0,NA
0008633,55,1,10000
0008633,33,1,10000
0008835,80,2,21000
0008835,80,1,17000
0009441,52,2,0
0009441,52,1,25700
0009443,47,1,30000
0009495,50,1,13000
0009495,64,2,9000
0009508,37,1,46530
0009508,44,2,0
0009508,17,1,4000
0009685,73,2,16900
0009685,67,2,11500
0009882,66,1,299000
0009882,71,2,0
0009890,30,1,38030
0009890,31,2,0
0009890,3,0,NA
0009890,0,0,NA
0010141,69,1,10650
0010141,74,2,30900
0010154,25,1,36000
0010154,24,1,30000
0010193,35,2,0
0010193,37,1,60000
0010193,8,0,NA
0010193,5,0,NA
0010193,56,2,12000
0010335,37,2,3400
0010335,14,0,NA
0010335,12,0,NA
0010335,9,0,NA
0010335,4,0,NA
0010335,0,0,NA
0010335,61,1,3400
0010595,36,1,50000
0010595,34,1,36000
0010595,10,0,NA
0010595,5,0,NA
0010707,21,1,20000
0010867,34,1,17000
0010867,33,1,13000
0011020,64,2,32100
0011020,59,1,24000
0011116,30,2,0
0011116,29,1,12000
0011364,42,1,52530
0011364,48,1,61000
0011364,6,0,NA
0011364,3,0,NA
0011500,67,1,63800
0011500,74,2,12900
0011843,73,2,37700
0011843,70,2,6000
0011843,51,1,23600
0011938,23,1,23300
0011938,27,1,16000
0011970,56,1,46800
0011970,53,1,37900
0012084,36,1,24700
0012084,47,1,6400
0012084,8,0,NA
0012084,27,1,5000
0012084,13,0,NA
0012314,41,1,31500
0012314,38,1,13000
0012314,13,0,NA
0012314,16,2,0
0012314,15,0,600
0012315,48,1,32000
0012315,38,1,21000
0012315,9,0,NA
0012378,33,1,63000
0012632,25,1,20000
0012632,22,1,16800
0012819,81,2,10700
0012893,52,1,27000
0012893,45,1,20000
0013248,83,2,10000
0013248,84,2,14600
0013262,63,1,36500
0013262,68,1,5600
0013266,53,1,3600
0013502,49,2,40800
0013502,51,1,13400
0013502,20,1,5200
0013502,15,0,5500
0014042,40,1,24000
0014042,18,1,13000
0014144,42,1,42000
0014144,9,0,NA
0014277,75,2,50300
0014277,77,2,4200
0014435,42,1,14300
0014435,45,2,3000
0014435,9,0,NA
0014814,26,1,26000
0015282,67,1,44000
0015282,38,1,10240
0015318,68,2,27160
0015318,62,1,32980
0015383,79,2,16900
0015383,76,2,4700
0015665,27,1,38000
0015665,26,1,41000
0016118,66,2,17300
0016118,40,1,31200
0016232,63,2,38200
0016232,58,2,940
0016323,32,1,40400
0016323,39,2,0
0016323,2,0,NA
0016323,0,0,NA
0016431,49,1,49000
0016431,9,0,NA
0016431,4,0,NA
0016483,42,1,6000
0016483,37,1,10400
0016483,17,2,0
0016483,10,0,NA
0016483,5,0,NA
0016483,2,0,NA
0016494,47,1,8000
0016494,41,1,24200
0016494,19,2,0
0016494,2,0,NA
0016494,26,1,12000
0016494,15,0,0
0016651,40,2,0
0016651,13,0,NA
0016651,10,0,NA
0016651,7,0,NA
0016651,5,0,NA
0016657,27,1,25000
0016657,25,1,1200
0016683,20,1,5010
0016807,65,1,37200
0016807,61,1,8600
0016886,41,1,25000
0016886,40,1,21060
0016886,11,0,NA
0016886,8,0,NA
0017268,38,1,23800
0017270,29,1,31000
0017270,28,1,19000
0017270,5,0,NA
0017270,0,0,NA
0017270,22,2,0
0017270,19,2,0
0017270,49,2,0
0017434,66,2,40100
0017434,64,2,18300
0017629,38,1,28000
0017629,4,0,NA
0017629,32,1,31000
0017633,27,1,46000
0017633,28,1,27000
0017633,8,0,NA
0017633,2,0,NA
0017849,73,1,32600
0017849,70,2,8330
0018002,31,1,32000
0018002,32,1,25000
0018002,9,0,NA
0018002,4,0,NA
0018092,79,2,117320
0018092,70,2,540
0018149,61,2,28500
0018149,53,1,40200
0018149,29,1,24000
0018149,26,1,12000
0018265,21,1,4300
0018434,81,2,24500
0018434,67,2,5300
0018546,46,1,15400
0018546,35,1,84000
0018728,49,1,1e+05
0018728,21,1,19800
0018728,42,1,41600
0018840,45,1,14030
0018892,52,1,27700
0018892,46,1,42730
0018892,13,0,NA
0019063,71,2,16200
0019212,85,2,8400
0019249,48,1,18000
0019396,49,1,26800
0019396,45,1,30400
0019396,14,0,NA
0019396,10,0,NA
0019439,41,1,52020
0019439,41,1,44030
0019439,14,0,NA
0019439,8,0,NA
0019674,59,1,4980
0019674,46,1,85100
0020084,43,1,75700
0020084,44,2,0
0020147,43,1,6200
0020147,41,1,20000
0020147,25,1,30000
0020147,20,1,20000
0020147,19,1,5000
0020147,15,0,0
0020464,50,1,40000
0020464,48,1,83000
0020683,18,1,1000
0020690,71,2,12500
0020712,18,1,5200
0020712,25,1,10000
0020799,75,2,4900
0020799,83,2,16300
0020893,75,2,68000
0020893,83,2,2400
0021393,28,1,58700
0021393,26,1,-7500
0021393,6,0,NA
0021393,5,0,NA
0021393,3,0,NA
0021402,50,1,151000
0021402,50,1,66000
0021402,20,1,6300
0021402,18,1,7600
0021402,13,0,NA
0021428,43,1,20500
0021428,15,0,0
0021803,78,2,16800
0022560,31,1,39540
0022560,29,1,18050
0022560,9,0,NA
0022560,0,0,NA
0022697,37,1,7500
0022697,14,0,NA
0022697,9,0,NA
0022755,26,1,24000
0022755,9,0,NA
0022755,8,0,NA
0022755,4,0,NA
0022912,26,1,40000
0022912,28,1,12000
0023121,59,1,23060
0023180,36,1,40000
0023180,34,1,7000
0023180,7,0,NA
0023463,30,1,6000
0023570,30,1,47000
0023570,30,1,11000
0023570,4,0,NA
0023709,20,1,20000
0023709,20,1,10200
0023778,93,2,8900
0023980,50,1,300490
0023980,46,1,33700
0023980,15,0,0
0024095,65,1,29000
0024095,35,1,10000
0024125,45,1,47500
0024125,45,1,7500
0024125,9,0,NA
0024125,3,0,NA
0024214,37,1,35500
0024214,32,1,18000
0024214,14,0,NA
0024217,86,2,19600
0024466,57,1,109000
0024466,53,1,30920
0024498,42,1,21500
0024732,56,1,22200
0024732,32,1,27800
0024732,8,0,NA
0024732,7,0,NA
0024732,31,1,15700
0024744,31,1,18130
0024744,15,0,0
0024744,11,0,NA
0024744,4,0,NA
0025020,55,1,10100
0025181,18,1,1500
0025181,18,1,1500
0025357,62,2,15900
0025357,59,2,0
0025473,43,1,24900
0025473,40,1,18000
0025473,21,1,3500
0025473,17,1,5880
0025569,71,2,5600
0025577,42,1,30000
0025577,39,1,30000
0025577,1,0,NA
0025577,14,0,NA
0025577,10,0,NA
0025683,28,1,27000
0025683,29,1,20030
0025929,24,1,19000
0026059,55,1,42050
0026059,53,1,13700
0026191,59,2,27000
0026191,54,1,1100
0026197,48,1,19000
0026197,49,1,19000
0026233,63,2,34100
0026290,86,2,13690
0026379,61,2,14200
0026379,59,2,0
0026379,40,1,9200
0026379,11,0,NA
0026379,5,0,NA
0026379,40,2,0
0026388,89,2,54100
0026412,39,1,46000
0026412,31,2,0
0026412,9,0,NA
0026412,1,0,NA
0026412,0,0,NA
0026440,89,2,12200
0026550,38,1,17700
0026550,11,0,NA
0026550,8,0,NA
0026550,2,0,NA
0026560,47,1,23600
0026560,50,1,78900
0026654,35,1,31000
0026654,31,1,21000
0026654,14,0,NA
0026654,10,0,NA
0026654,1,0,NA
0026760,63,1,18600
0026760,63,2,0
0026894,55,1,56150
0026894,52,2,0
0026997,64,2,18400
0026997,61,2,0
0027285,57,1,35000
0027285,55,1,1000
0027373,71,2,19300
0027373,49,1,40000
0027434,84,2,7500
0027533,30,1,30400
0027580,77,2,13600
0027580,71,1,9100
0027951,70,2,35000
0027951,72,1,7060
0027951,44,1,9700
0027987,38,1,82000
0027987,38,1,960
0027987,9,0,NA
0027987,7,0,NA
0027987,5,0,NA
0027987,4,0,NA
0028159,43,1,50000
0028159,18,1,6000
0028312,29,1,28060
0028312,26,1,33400
0028528,44,1,65020
0028528,40,1,37620
0028528,18,1,6320
0028528,15,0,0
0028528,7,0,NA
0028570,52,2,20000
0028607,48,1,37000
0028640,89,2,21200
0028664,93,2,0
0028715,52,1,40000
0028715,52,1,36000
0028731,86,2,56900
0028731,80,2,21900
0028842,93,2,11700
0028876,48,1,39280
0028876,9,0,NA
0028876,5,0,NA
0028928,51,1,64900
0028928,13,0,NA
0028928,53,1,24430
0028945,49,1,72500
0029096,42,1,20000
0029096,41,1,70000
0029240,62,2,32810
0029334,93,2,18400
0029345,74,1,27500
0029655,74,2,10900
0029844,53,1,64350
0029844,49,1,54000
0029844,18,2,0
0029844,13,0,NA
0029984,39,1,11900
0029984,45,1,15000
0029984,46,1,18000
0030065,93,2,22700
0030065,78,2,6000
0030251,34,1,6000
0030251,9,0,NA
0030251,34,1,6000
0030306,71,2,13100
0030384,56,1,42790
0030511,74,2,150000
0030524,80,1,28300
0030524,76,2,49400
0030617,35,1,51000
0030617,29,1,50000
0030617,6,0,NA
0030617,0,0,NA
0030639,63,1,55200
0030639,63,2,0
0030805,25,1,12300
0030805,26,1,16800
0030995,44,1,56000
0030995,43,1,30800
0031187,48,1,145300
0031187,54,1,8200
0031323,68,1,26600
0031323,59,2,0
0031323,37,1,12000
0031429,75,2,18200
0031430,78,2,19000
0031796,41,2,47800
0031796,8,0,NA
0032407,55,1,63000
0032407,52,1,20000
0032427,51,1,24000
0032427,37,1,12000
0032427,12,0,NA
0032427,10,0,NA
0032727,68,2,4200
0032727,63,1,27320
0032865,62,2,25450
0032865,53,1,10200
0033088,53,1,120000
0033088,44,2,0
0033191,65,2,15700
0033191,67,2,0
0033309,71,1,23030
0033309,56,1,10300
0033520,57,1,23000
0033520,54,1,6100
0034102,56,1,50000
0034191,41,1,31000
0034191,36,1,24000
0034191,15,0,0
0034191,13,0,NA
0034455,51,1,41900
0034455,71,2,60400
0034611,87,2,12600
0034671,93,2,46100
0035038,50,1,46530
0035038,58,1,157130
0035038,18,2,370
0035038,13,0,NA
0035048,47,2,0
0035048,49,1,240000
0035048,16,1,2400
0035048,13,0,NA
0035136,61,2,192000
0035136,59,1,27200
0035136,22,1,9900
0035463,41,1,112100
0035463,29,1,6000
0035463,10,0,NA
0035463,8,0,NA
0035463,6,0,NA
0035666,30,1,20000
0035804,24,1,10000
0035804,5,0,NA
0035856,46,1,30010
0035856,39,2,0
0035856,18,1,3900
0035856,16,2,0
0035856,9,0,NA
0035929,37,1,58000
0036059,63,1,82000
0036059,57,1,22000
0036178,19,1,30000
0036178,19,1,650
0036178,0,0,NA
0036275,64,1,30300
0036275,65,1,11800
0036373,40,1,21800
0036373,5,0,NA
0036373,61,2,7200
0036409,29,1,46000
0036409,27,1,19000
0036409,0,0,NA
0036414,27,1,20800
0036414,0,0,NA
0036414,26,1,22000
0036414,4,0,NA
0036417,25,1,40000
0036417,2,0,NA
0036621,25,1,6100
0036621,4,0,NA
0036773,85,2,24000
0036825,74,2,0
0036825,56,1,16600
0037091,76,2,6000
0037091,72,2,15600
0037108,44,1,107000
0037108,44,1,3800
0037108,17,1,2460
0037108,12,0,NA
0037109,47,1,70000
0037109,51,1,1e+05
0037130,53,1,303000
0037130,51,2,0
0037392,58,1,176000
0037392,53,1,50000
0037423,51,1,52000
0037423,55,1,35000
0037459,35,1,42900
0037459,12,0,NA
0037459,6,0,NA
0037761,75,1,133400
0037761,66,2,135500
0038053,22,1,16000
0038053,22,1,21600
0038053,21,1,12000
0038188,29,1,45640
0038188,21,1,30000
0038356,93,2,14100
0038470,56,1,24000
0038470,49,1,14800
0038470,23,1,13100
0038494,81,2,0
0038494,89,2,10100
0038543,52,1,150000
0038601,36,1,21200
0038601,29,1,15500
0038601,9,0,NA
0038601,4,0,NA
0038822,58,1,40000
0038822,53,1,25000
0038822,25,1,25000
0038822,14,0,NA
0038918,36,1,25100
0038918,34,1,26000
0038918,1,0,NA
0039073,49,1,38500
0039073,46,1,8600
0039293,52,1,75500
0039293,51,2,0
0039386,81,1,35500
0039709,55,2,130000
0039858,82,2,24100
0039858,87,2,7300
0039858,51,1,10000
0040066,43,1,23200
0040066,41,1,6200
0040066,9,0,NA
0040066,9,0,NA
0040072,28,1,11000
0040414,43,2,6000
0040653,22,2,0
0040659,65,2,6700
0040659,23,1,8400
0040659,26,1,12100
0040659,1,0,NA
0040659,1,0,NA
0040659,64,2,7330
0040892,49,1,85200
0040892,51,2,0
0040892,19,1,10500
0040892,17,2,0
0041102,45,1,17000
0041102,44,1,8000
0041102,10,0,NA
0041102,7,0,NA
0041223,89,2,7100
0041364,64,1,9350
0041449,72,2,32100
0041449,65,2,35300
0041456,39,1,31300
0041493,23,1,6500
0041493,8,0,NA
0041493,0,0,NA
0041632,56,1,88190
0041632,55,1,43600
0041649,29,1,17000
0041711,29,1,33060
0041711,31,2,0
0041711,5,0,NA
0041711,0,0,NA
0041981,22,1,20000
0042144,40,1,44800
0042144,42,1,3600
0042144,16,1,1500
0042144,14,0,NA
0042264,49,1,87000
0042264,41,1,25000
0042383,45,1,22800
0042414,53,1,53230
0042414,50,1,22230
0042480,86,2,34700
0042759,66,2,30100
0042759,77,2,3900
0042839,65,2,15800
0043051,31,1,27000
0043051,39,1,15000
0043339,80,2,38900
0043339,65,2,5400
0043478,48,1,35000
0043478,41,1,11300
0043478,15,0,1400
0043478,15,0,0
0043478,11,0,NA
0043760,48,1,15000
0043760,48,1,15000
0043760,22,1,5000
0043869,81,2,171900
0043869,72,2,134900
0043994,46,1,60080
0043994,38,1,39230
0043994,8,0,NA
0043994,20,1,13000
0043998,56,1,24530
0043998,53,1,57200
0044086,45,2,11000
0044104,59,1,246000
0044104,58,1,36800
0044595,88,2,24100
0044931,32,2,0
0044931,41,1,32000
0044931,7,0,NA
0044931,3,0,NA
0045193,32,1,7500
0045193,35,1,167000
0045193,5,0,NA
0045193,3,0,NA
0045709,33,1,24000
0045949,58,1,31900
0046004,89,2,19400
0046004,93,2,20600
0046004,93,2,13000
0046289,32,1,36000
0046302,46,1,37900
0046302,14,0,NA
0046623,30,1,29700
0046623,31,2,0
0046749,24,1,14000
0046749,4,0,NA
0047046,58,1,80100
0047046,40,2,0
0047113,55,1,95500
0047113,55,1,47000
0047338,35,1,44000
0047338,12,0,NA
0047338,3,0,NA
0047338,1,0,NA
0047338,33,1,48000
0047341,43,2,0
0047341,44,1,23000
0047341,14,0,NA
0047341,12,0,NA
0047341,9,0,NA
0047381,49,1,86400
0047381,48,2,0
0047381,18,1,8000
0047381,16,1,940
0047381,12,0,NA
0047381,6,0,NA
0047446,44,1,48000
0047446,48,1,16400
0047703,55,2,10
0048074,87,2,15000
0048100,48,1,60000
0048100,50,2,0
0048100,13,0,NA
0048147,43,1,41400
0048288,69,2,53000
0048288,67,1,16400
0048328,34,1,24400
0048328,10,0,NA
0048452,26,1,32700
0048452,25,1,36000
0049472,49,1,33060
0049510,49,1,31000
0049510,48,1,17500
0049681,77,2,9310
0049794,52,1,114000
0049794,9,0,NA
0049794,5,0,NA
0049794,34,1,114000
0049841,67,1,17800
0049841,66,1,12800
0049884,83,2,6000
0050191,25,1,2000
0050281,42,1,22000
0050677,20,1,9000
0050677,51,1,11600
0050677,39,1,10000
0050677,32,1,13000
0050880,47,1,15000
0050880,50,1,17000
0051155,34,1,54000
0051155,31,1,1700
0051155,75,2,19800
0051378,23,1,16000
0051474,35,1,34900
0051481,51,1,40500
0051481,20,2,1600
0051481,17,1,1500
0051481,12,0,NA
0051763,37,1,75000
0051763,38,1,130000
0051763,0,0,NA
0051957,65,2,20000
0051957,37,1,3500
0052871,17,1,2910
0053041,74,2,6400
0053041,74,2,710
0054142,33,1,20000
0054142,45,1,12900
0054142,27,1,47500
0054142,18,2,0
0054163,33,1,29200
0054205,80,1,32000
0054318,47,1,42600
0054318,46,1,3900
0054318,5,0,NA
0054318,3,0,NA
0054594,47,1,50500
0054594,45,1,32000
0054594,17,1,500
0055326,37,1,44100
0055873,49,1,55000
0055873,25,1,5000
0055873,24,1,5000
0055873,20,1,8000
0056174,87,2,22600
0056315,61,2,10100
0056315,58,1,16800
0056755,37,1,15000
0056787,43,1,22400
0056787,41,1,22400
0056895,40,1,25300
0056895,43,1,10200
0057563,57,2,800
0057563,57,2,0
0057563,33,1,33000
0057623,51,1,125000
0057623,36,2,0
0057623,2,0,NA
0057776,67,1,36600
0057776,58,1,3500
0057830,37,1,4200
0057830,30,1,23500
0057830,2,0,NA
0057830,10,0,NA
0057830,6,0,NA
0057847,56,1,27000
0058019,34,1,24000
0058019,37,1,26000
0058019,16,2,0
0058019,14,0,NA
0058072,63,2,141800
0058072,60,1,140000
0058203,44,1,30000
0058203,25,1,6600
0058237,33,1,27100
0058237,9,0,NA
0058244,20,2,5100
0058244,2,0,NA
0058306,38,1,15000
0058306,37,1,8470
0058306,14,0,NA
0058306,9,0,NA
0058494,23,1,10700
0058494,19,1,3000
0058494,24,1,230
0058705,35,1,10000
0058766,34,1,13400
0058878,41,1,37000
0058917,77,2,46100
0058917,84,2,10100
0059250,36,1,27800
0059250,49,1,24000
0059250,16,2,0
0059250,11,0,NA
0059372,50,1,50000
0059372,51,1,59000
0059391,32,1,22000
0059391,30,2,0
0059391,11,0,NA
0059391,7,0,NA
0059391,36,2,0
0059391,30,2,0
0059393,93,2,16500
0059456,47,1,120000
0059456,50,2,0
0059464,49,1,28000
0059464,21,1,5300
0059558,24,1,36000
0059558,22,2,0
0059558,5,0,NA
0059558,1,0,NA
0059625,43,1,10200
0059792,29,1,16800
0059792,9,0,NA
0059792,5,0,NA
0059792,54,2,12000
0060113,52,1,2380
0060113,66,1,18740
0060266,59,1,20200
0060266,64,1,21600
0060660,53,2,32400
0060799,27,1,47000
0060799,30,1,38500
0060799,25,1,30000
0061476,69,1,47600
0061567,88,2,17700
0061567,80,2,8700
0061637,37,1,36700
0061637,31,1,26700
0061637,4,0,NA
0061637,3,0,NA
0061690,35,1,30000
0061690,38,1,49030
0061821,33,1,30000
0061821,30,1,16400
0061929,31,2,0
0062045,47,1,22110
0062197,36,2,4200
0062197,8,0,NA
0062197,39,1,13000
0062197,34,1,7500
0062204,53,1,72400
0062204,74,2,15800
0062282,63,2,21000
0062282,60,1,92000
0062401,49,1,30320
0062401,45,1,19600
0062437,76,2,7600
0062481,38,1,25020
0062481,14,0,NA
0062481,9,0,NA
0062731,77,2,29600
0062906,88,2,17070
0062906,79,2,10200
0062988,46,1,18000
0062996,27,1,2010
0063077,76,2,21300
0063077,84,2,9780
0063171,51,1,57820
0063171,41,2,0
