Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
0001,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,King County Department of Transportation - Metro Transit Division                                   ,201 South Jackson Street                                                                            ,M.S. KSC-TR-0333                                                                                    ,Seattle                            ,WA                  ,98104,3856,http://metro.kingcounty.gov/                                                                        ,1731,King County Metro        ,"2,134","1,931,249",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,Y,805622313
0002,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Spokane Transit Authority                                                                           ,1230 West Boone Avenue                                                                              ,                                                                                                    ,Spokane                            ,WA                  ,99201,    ,spokanetransit.com                                                                                  ,1733,STA                      ,248,"394,120",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,060044575
0003,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Pierce County Transportation Benefit Area Authority                                                 ,"3701 96th Street, S.W.                                                                              ",                                                                                                    ,Tacoma                             ,WA                  ,98499,0070,www.piercetransit.org                                                                               ,1730,Pierce Transit           ,414,"758,510",N,                                                                                                                                                                                                        ,                                                                                                    ,99070     ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,017850363
0005,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Everett Transit                                                                                     ,3225 Cedar Street                                                                                   ,                                                                                                    ,Everett                            ,WA                  ,98201,    ,www.everettwa.org/transit/                                                                          ,1743,ET                       ,34,"105,000",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,155780190
0006,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Yakima Transit                                                                                      ,2301 Fruitvale Boulevard                                                                            ,                                                                                                    ,Yakima                             ,WA                  ,98902,1298,www.yakimatransit.org                                                                               ,1750,YT                       ,28,"92,035",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,078212651
0007,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Lane Transit District                                                                               ,3500 East 17th Avenue                                                                               ,                                                                                                    ,Eugene                             ,OR                  ,97403,    ,www.ltd.org                                                                                         ,1738,LTD                      ,241,"293,100",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,060588639
0008,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Tri-County Metropolitan Transportation District of Oregon                                           ,4012 Southeast 17th Avenue                                                                          ,                                                                                                    ,Portland                           ,OR                  ,97202,3940,www.trimet.org                                                                                      ,1728,TriMet                   ,570,"1,512,490",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,007909096
0011,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Valley Regional Transit                                                                             ,830 North Main Street                                                                               ,Suite 230                                                                                           ,Meridian                           ,ID                  ,83642,    ,www.valleyregionaltransit.org                                                                       ,1736,VRT                      ,66,"272,625",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,139758973
0012,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Municipality of Anchorage - Public Transportation Department                                        ,"3650 A East Tudor Road, Building A                                                                  ",                                                                                                    ,Anchorage                          ,AK                  ,99519,6650,www.peoplemover.org                                                                                 ,1707,People Mover             ,77,"218,145",N,                                                                                                                                                                                                        ,                                                                                                    ,196650    ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,076667013
0016,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Community Urban Bus Service                                                                         ,254 Oregon Way                                                                                      ,                                                                                                    ,Longview                           ,WA                  ,98632,    ,www.cubs-bus.com                                                                                    ,1747,CUBS                     ,21,"46,210",N,                                                                                                                                                                                                        ,                                                                                                    ,128       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,612643619
