AgencyID,PrimaryUZA,UZAName,Population
1,14,"Seattle, WA",3059393
2,96,"Spokane, WA",387847
3,14,"Seattle, WA",3059393
5,14,"Seattle, WA",3059393
6,248,"Yakima, WA",129534
7,151,"Eugene, OR",247421
8,24,"Portland, OR-WA",1849898
11,108,"Boise City, ID",349684
12,149,"Anchorage, AK",251243
16,431,"Longview, WA-OR",63952
18,171,"Kennewick-Pasco, WA",210975
19,195,"Olympia-Lacey, WA",176617
20,180,"Bremerton, WA",198979
21,275,"Bellingham, WA",114473
22,395,"Pocatello, ID",69809
23,14,"Seattle, WA",3059393
24,24,"Portland, OR-WA",1849898
25,156,"Salem, OR",236632
28,14,"Seattle, WA",3059393
29,14,"Seattle, WA",3059393
34,213,"Medford, OR",154081
35,14,"Seattle, WA",3059393
40,14,"Seattle, WA",3059393
41,149,"Anchorage, AK",251243
42,321,"Idaho Falls, ID",90733
43,412,"Wenatchee, WA",67227
44,435,"Mount Vernon, WA",62966
45,425,"Fairbanks, AK",64513
46,24,"Portland, OR-WA",1849898
47,436,"Corvallis, OR",62433
48,483,"Lewiston, ID-WA",51924
49,149,"Anchorage, AK",251243
51,483,"Lewiston, ID-WA",51924
53,304,"Coeur d'Alene, ID",98378
54,14,"Seattle, WA",3059393
55,304,"Coeur d'Alene, ID",98378
57,344,"Bend, OR",83794
58,24,"Portland, OR-WA",1849898
59,494,"Grants Pass, OR",50520
60,225,"Marysville, WA",145140
61,459,"Albany, OR",56997
63,464,"Walla Walla, WA-OR",55805
64,464,"Walla Walla, WA-OR",55805
65,436,"Corvallis, OR",62433
10001,39,"Providence, RI-MA",1190956
10002,209,"Manchester, NH",158377
10003,10,"Boston, MA-NH-RI",4181019
10004,10,"Boston, MA-NH-RI",4181019
10005,10,"Boston, MA-NH-RI",4181019
10006,219,"New Bedford, MA",149443
10007,448,"Pittsfield, MA",59124
10008,65,"Springfield, MA-CT",621300
10013,10,"Boston, MA-NH-RI",4181019
10014,81,"Worcester, MA-CT",486514
10015,446,"Lewiston, ME",59397
10016,177,"Portland, ME",203914
10017,47,"Hartford, CT",924859
10040,174,"Norwich-New London, CT-RI",209190
10042,48,"Bridgeport-Stamford, CT-NY",923311
10045,47,"Hartford, CT",924859
10048,47,"Hartford, CT",924859
10049,72,"New Haven, CT",562839
10050,48,"Bridgeport-Stamford, CT-NY",923311
10051,201,"Danbury, CT-NY",168136
10053,10,"Boston, MA-NH-RI",4181019
10055,72,"New Haven, CT",562839
10056,48,"Bridgeport-Stamford, CT-NY",923311
10057,48,"Bridgeport-Stamford, CT-NY",923311
10061,269,"Leominster-Fitchburg, MA",116960
10063,47,"Hartford, CT",924859
10064,39,"Providence, RI-MA",1190956
10066,285,"Burlington, VT",108740
10069,177,"Portland, ME",203914
10086,331,"Dover-Rochester, NH-ME",88087
10087,160,"Nashua, NH-MA",226400
10088,177,"Portland, ME",203914
10096,441,"Bangor, ME",61210
10098,446,"Lewiston, ME",59397
10099,329,"Portsmouth, NH-ME",88200
10102,47,"Hartford, CT",924859
10105,152,"Barnstable Town, MA",246695
10107,48,"Bridgeport-Stamford, CT-NY",923311
