AgencyID,AgencyName,Mode,TimePeriod,RevenueMiles,DeadheadMiles,PassengerMiles
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Typical Weekday,21542,4430,33027
1,King County Department of Transportation - Metro Transit Division,DR,Average Typical Saturday,10641,2355,14678
1,King County Department of Transportation - Metro Transit Division,DR,Average Typical Sunday,10189,2400,13441
1,King County Department of Transportation - Metro Transit Division,DR,Annual Total,6705640,1403496,10082121
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Typical Weekday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Typical Saturday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Typical Sunday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Annual Total,1257248,,1452968
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Weekday,97752,27234,1656944
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Saturday,63142,8273,780106
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Sunday,51279,5724,567296
1,King County Department of Transportation - Metro Transit Division,MB,Annual Total,31651853,7792955,496404999
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Weekday,3846,926,13469
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Saturday,1288,273,5465
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Sunday,356,139,1470
1,King County Department of Transportation - Metro Transit Division,MB,Annual Total,1068355,258330,3804029
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Typical Weekday,174,1,1682
1,King County Department of Transportation - Metro Transit Division,SR,Average Typical Saturday,190,1,1082
1,King County Department of Transportation - Metro Transit Division,SR,Average Typical Sunday,103,1,672
1,King County Department of Transportation - Metro Transit Division,SR,Annual Total,59960,376,522888
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Typical Weekday,10499,516,129567
1,King County Department of Transportation - Metro Transit Division,TB,Average Typical Saturday,391,11,362
1,King County Department of Transportation - Metro Transit Division,TB,Average Typical Sunday,827,22,10468
1,King County Department of Transportation - Metro Transit Division,TB,Annual Total,2827567,124546,33642737
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Typical Weekday,56815,0,281211
1,King County Department of Transportation - Metro Transit Division,VP,Average Typical Saturday,1978,0,9790
1,King County Department of Transportation - Metro Transit Division,VP,Average Typical Sunday,1773,0,8777
1,King County Department of Transportation - Metro Transit Division,VP,Annual Total,14693548,0,72726967
2,Spokane Transit Authority,DR,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Midday,,,
2,Spokane Transit Authority,DR,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Other,,,
2,Spokane Transit Authority,DR,Average Typical Weekday,4664,429,7395
2,Spokane Transit Authority,DR,Average Typical Saturday,,,
2,Spokane Transit Authority,DR,Average Typical Sunday,,0,0
2,Spokane Transit Authority,DR,Annual Total,1189206,106830,1885648
2,Spokane Transit Authority,DR,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Midday,,,
2,Spokane Transit Authority,DR,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Other,,,
2,Spokane Transit Authority,DR,Average Typical Weekday,3764,701,6674
2,Spokane Transit Authority,DR,Average Typical Saturday,3149,429,4102
2,Spokane Transit Authority,DR,Average Typical Sunday,3097,462,4285
2,Spokane Transit Authority,DR,Annual Total,1303096,208036,2163775
2,Spokane Transit Authority,MB,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,MB,Average Weekday - Midday,,,
2,Spokane Transit Authority,MB,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,MB,Average Weekday - Other,,,
2,Spokane Transit Authority,MB,Average Typical Weekday,18598,1560,160508
2,Spokane Transit Authority,MB,Average Typical Saturday,8118,710,62275
2,Spokane Transit Authority,MB,Average Typical Sunday,5321,678,33944
2,Spokane Transit Authority,MB,Annual Total,5480629,463902,46108464
2,Spokane Transit Authority,VP,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,VP,Average Weekday - Midday,,,
2,Spokane Transit Authority,VP,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,VP,Average Weekday - Other,,,
2,Spokane Transit Authority,VP,Average Typical Weekday,4226,0,20460
2,Spokane Transit Authority,VP,Average Typical Saturday,385,0,1033
2,Spokane Transit Authority,VP,Average Typical Sunday,286,0,781
2,Spokane Transit Authority,VP,Annual Total,1114100,0,5316121
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - AM Peak,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - Midday,,,
