SeriesID,ExpenseCategory,IncomeGroup,BottomIncome,TopIncome,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
CXUTRANSLB0202M,AllTransportation,<5K,0,4999,3041,2270,2801,3206,3046,3088,2851,2535,3457,3917,3430,3276,3943
CXUTRANSLB0203M,AllTransportation,5K-10K,5000,9999,2329,2052,2274,2107,2312,2931,2299,2314,3201,2748,3099,3090,3211
CXUTRANSLB0204M,AllTransportation,10K-15K,10000,14999,3130,3000,2488,3299,3236,2987,2666,2606,2559,2987,3089,3538,3131
CXUTRANSLB0205M,AllTransportation,15K-20K,15000,19999,4033,3758,3657,3572,4292,4457,3493,3827,4019,4128,3724,4203,3900
CXUTRANSLB0206M,AllTransportation,20K-30K,20000,29999,5615,5114,5644,5067,5434,5591,4355,4882,4664,4991,5924,5749,5717
CXUTRANSLB0207M,AllTransportation,30K-40K,30000,39999,6973,6288,6185,6770,6503,6436,6311,6229,6406,6311,6843,6435,6494
CXUTRANSLB0208M,AllTransportation,40K-50K,40000,49999,7949,7031,7820,6844,7346,7225,6393,7099,7128,7531,7861,8289,8221
CXUTRANSLB0209M,AllTransportation,50K-70K,50000,69999,10656,9700,9840,9423,9828,9359,8352,7782,9010,9928,9666,9488,9809
CXUTRANSLB0212M,AllTransportation,70K-80K,70000,79999,11540,9965,10761,10921,10886,10449,9880,10706,9804,11590,10845,10673,11415
CXUTRANSLB0213M,AllTransportation,80K-100K,80000,99999,13295,12446,12137,12206,13039,12227,9929,10392,12185,12953,11881,11593,12153
CXUTRANSLB0215M,AllTransportation,100K-120K,100000,119999,14178,13520,15108,13601,13892,13424,12378,12557,13962,14841,15217,13816,14646
CXUTRANSLB0216M,AllTransportation,120K-150K,120000,149999,15785,15515,15685,15661,16050,15720,13028,14967,14274,14907,15843,15950,16961
CXUTRANSLB0217M,AllTransportation,150K+,150000,200000,16799,18308,19357,21097,18074,17486,17799,15808,17756,19217,19901,19544,19394
CXUPUBTRANSLB0202M,PublicTransportation,<5K,0,4999,187,178,174,197,156,303,180,148,231,262,221,191,260
CXUPUBTRANSLB0203M,PublicTransportation,5K-10K,5000,9999,152,86,143,162,115,277,115,147,157,196,141,172,181
CXUPUBTRANSLB0204M,PublicTransportation,10K-15K,10000,14999,129,137,105,167,142,196,151,129,173,136,124,173,151
CXUPUBTRANSLB0205M,PublicTransportation,15K-20K,15000,19999,190,165,165,225,261,153,213,184,177,185,226,267,261
CXUPUBTRANSLB0206M,PublicTransportation,20K-30K,20000,29999,269,212,213,193,208,211,196,221,188,220,249,244,295
CXUPUBTRANSLB0207M,PublicTransportation,30K-40K,30000,39999,256,243,240,280,300,254,246,272,282,281,279,320,266
CXUPUBTRANSLB0208M,PublicTransportation,40K-50K,40000,49999,284,283,311,275,348,259,275,287,343,318,347,414,369
CXUPUBTRANSLB0209M,PublicTransportation,50K-70K,50000,69999,433,413,381,499,412,393,409,406,409,449,444,479,513
CXUPUBTRANSLB0212M,PublicTransportation,70K-80K,70000,79999,449,432,515,574,470,512,547,489,427,510,503,496,578
CXUPUBTRANSLB0213M,PublicTransportation,80K-100K,80000,99999,582,752,654,684,704,608,560,549,660,640,559,649,665
CXUPUBTRANSLB0215M,PublicTransportation,100K-120K,100000,119999,629,894,796,1049,829,818,830,1003,836,797,874,794,881
CXUPUBTRANSLB0216M,PublicTransportation,120K-150K,120000,149999,1046,1219,1087,1052,1223,1151,980,1034,1273,1167,1123,1041,1214
CXUPUBTRANSLB0217M,PublicTransportation,150K+,150000,200000,1853,2073,1956,1841,2307,2058,1907,2035,2027,2144,2165,2192,2548
CXUGASOILLB0202M,Gas/Oil,<5K,0,4999,648,690,872,966,933,1225,932,870,1148,1161,1296,1117,907
CXUGASOILLB0203M,Gas/Oil,5K-10K,5000,9999,532,620,701,794,886,1090,761,905,1112,1054,1106,1045,969
CXUGASOILLB0204M,Gas/Oil,10K-15K,10000,14999,652,782,925,980,986,1179,894,979,1172,1125,1194,1125,848
CXUGASOILLB0205M,Gas/Oil,15K-20K,15000,19999,906,964,1122,1278,1318,1464,1110,1252,1487,1558,1414,1392,1035
CXUGASOILLB0206M,Gas/Oil,20K-30K,20000,29999,1053,1190,1454,1580,1695,1922,1450,1553,1971,1896,1793,1737,1434
CXUGASOILLB0207M,Gas/Oil,30K-40K,30000,39999,1309,1432,1793,1897,1999,2310,1689,1879,2247,2337,2241,2175,1757
CXUGASOILLB0208M,Gas/Oil,40K-50K,40000,49999,1494,1621,2059,2147,2335,2620,1955,2152,2679,2651,2580,2388,2003
CXUGASOILLB0209M,Gas/Oil,50K-70K,50000,69999,1712,1953,2390,2599,2788,3033,2250,2455,2961,3091,3016,2739,2315
CXUGASOILLB0212M,Gas/Oil,70K-80K,70000,79999,1861,2131,2603,2909,3041,3528,2470,2686,3345,3432,3234,2986,2487
CXUGASOILLB0213M,Gas/Oil,80K-100K,80000,99999,2038,2366,2935,3138,3243,3770,2669,2899,3612,3827,3498,3325,2777
CXUGASOILLB0215M,Gas/Oil,100K-120K,100000,119999,2063,2452,3168,3318,3600,3954,2942,3248,3921,4143,3968,3607,2964
CXUGASOILLB0216M,Gas/Oil,120K-150K,120000,149999,2195,2686,3214,3598,3772,4237,3090,3231,4150,4363,4099,3849,3306
CXUGASOILLB0217M,Gas/Oil,150K+,150000,200000,2133,2573,3332,3763,3859,4396,3257,3291,4267,4404,4239,3914,3289
CXUVEHOTHXPLB0202M,OtherExpenses,<5K,0,4999,921,690,767,882,1205,1131,805,936,956,912,1049,988,1149
CXUVEHOTHXPLB0203M,OtherExpenses,5K-10K,5000,9999,699,648,649,667,692,755,773,812,842,724,966,694,1212
CXUVEHOTHXPLB0204M,OtherExpenses,10K-15K,10000,14999,952,872,878,890,990,1006,949,972,931,1030,1101,987,1395
CXUVEHOTHXPLB0205M,OtherExpenses,15K-20K,15000,19999,1349,1301,1178,1107,1025,1494,1217,1511,1248,1285,1169,1350,1287
CXUVEHOTHXPLB0206M,OtherExpenses,20K-30K,20000,29999,1686,1525,1517,1427,1644,1688,1508,1523,1470,1450,1813,1863,1819
CXUVEHOTHXPLB0207M,OtherExpenses,30K-40K,30000,39999,2145,1942,1863,1811,1971,1803,2264,1937,1889,1941,2019,1969,2050
CXUVEHOTHXPLB0208M,OtherExpenses,40K-50K,40000,49999,2486,2259,2228,2193,2514,2248,2064,2371,2149,2365,2079,2336,2197
CXUVEHOTHXPLB0209M,OtherExpenses,50K-70K,50000,69999,3104,2795,2646,2728,2788,2841,2951,2532,2762,2533,2934,2829,2827
CXUVEHOTHXPLB0212M,OtherExpenses,70K-80K,70000,79999,3531,3184,3126,3115,3329,3296,3452,3309,2937,3381,3127,3259,3163
CXUVEHOTHXPLB0213M,OtherExpenses,80K-100K,80000,99999,3842,3812,3456,3229,3705,3932,3313,3228,3458,3203,3314,3308,3354
CXUVEHOTHXPLB0215M,OtherExpenses,100K-120K,100000,119999,4191,4162,3756,3732,3837,4106,3806,3508,4239,3775,4153,3819,4201
CXUVEHOTHXPLB0216M,OtherExpenses,120K-150K,120000,149999,4612,4582,4443,4206,4857,4568,4245,4896,3973,4232,4116,4804,4536
CXUVEHOTHXPLB0217M,OtherExpenses,150K+,150000,200000,5130,5278,5316,5209,5201,5048,5129,5169,4823,5248,5512,6102,5452
CXUCAREPAIRLB0202M,Maintenance/Repair,<5K,0,4999,268,235,267,297,245,259,267,272,275,363,385,364,259
CXUCAREPAIRLB0203M,Maintenance/Repair,5K-10K,5000,9999,224,230,241,201,221,249,294,290,374,278,305,270,342
CXUCAREPAIRLB0204M,Maintenance/Repair,10K-15K,10000,14999,294,258,292,311,260,271,267,353,295,337,304,245,356
CXUCAREPAIRLB0205M,Maintenance/Repair,15K-20K,15000,19999,452,492,384,374,348,419,373,532,342,434,343,389,432
CXUCAREPAIRLB0206M,Maintenance/Repair,20K-30K,20000,29999,479,423,466,409,464,482,446,510,490,517,640,564,553
CXUCAREPAIRLB0207M,Maintenance/Repair,30K-40K,30000,39999,577,548,537,567,564,572,563,634,640,640,632,631,677
CXUCAREPAIRLB0208M,Maintenance/Repair,40K-50K,40000,49999,685,571,581,615,688,537,665,762,691,722,708,782,750
CXUCAREPAIRLB0209M,Maintenance/Repair,50K-70K,50000,69999,800,755,734,789,769,785,827,750,903,881,871,892,880
CXUCAREPAIRLB0212M,Maintenance/Repair,70K-80K,70000,79999,919,830,994,861,1040,891,890,1008,991,914,1069,953,1028
CXUCAREPAIRLB0213M,Maintenance/Repair,80K-100K,80000,99999,1059,1048,984,897,1061,973,929,1044,1149,1022,1101,1076,995
CXUCAREPAIRLB0215M,Maintenance/Repair,100K-120K,100000,119999,1052,1083,1082,1051,1275,1159,1202,1284,1308,1164,1178,1181,1092
CXUCAREPAIRLB0216M,Maintenance/Repair,120K-150K,120000,149999,1221,1227,1249,1285,1233,1318,1316,1290,1343,1410,1467,1295,1542
CXUCAREPAIRLB0217M,Maintenance/Repair,150K+,150000,200000,1320,1383,1341,1495,1460,1594,1515,1694,1642,1775,1858,1891,1562
CXUVEHRNTLCLB0202M,Rent/Leasing/Licensing/Other,<5K,0,4999,202,133,139,230,150,141,166,138,159,158,156,260,256
CXUVEHRNTLCLB0203M,Rent/Leasing/Licensing/Other,5K-10K,5000,9999,118,82,104,142,122,143,124,110,102,149,120,117,212
CXUVEHRNTLCLB0204M,Rent/Leasing/Licensing/Other,10K-15K,10000,14999,120,107,113,124,138,135,126,112,132,111,167,147,163
CXUVEHRNTLCLB0205M,Rent/Leasing/Licensing/Other,15K-20K,15000,19999,176,139,181,165,137,161,175,164,169,162,179,198,232
CXUVEHRNTLCLB0206M,Rent/Leasing/Licensing/Other,20K-30K,20000,29999,247,213,216,225,200,238,210,200,234,211,268,323,253
CXUVEHRNTLCLB0207M,Rent/Leasing/Licensing/Other,30K-40K,30000,39999,306,275,309,268,255,253,270,261,314,282,327,340,460
CXUVEHRNTLCLB0208M,Rent/Leasing/Licensing/Other,40K-50K,40000,49999,412,298,383,369,346,331,347,312,347,310,442,441,426
CXUVEHRNTLCLB0209M,Rent/Leasing/Licensing/Other,50K-70K,50000,69999,585,450,455,522,439,418,434,372,398,413,520,490,548
CXUVEHRNTLCLB0212M,Rent/Leasing/Licensing/Other,70K-80K,70000,79999,702,550,552,623,598,604,518,560,467,456,540,557,702
CXUVEHRNTLCLB0213M,Rent/Leasing/Licensing/Other,80K-100K,80000,99999,606,768,639,660,626,611,569,570,566,601,763,709,818
CXUVEHRNTLCLB0215M,Rent/Leasing/Licensing/Other,100K-120K,100000,119999,834,920,769,848,837,877,727,754,655,634,901,919,906
CXUVEHRNTLCLB0216M,Rent/Leasing/Licensing/Other,120K-150K,120000,149999,1115,956,1086,908,1037,864,928,883,830,868,1047,1068,1064
CXUVEHRNTLCLB0217M,Rent/Leasing/Licensing/Other,150K+,150000,200000,1555,1613,1692,1603,1680,1456,1417,1388,1389,1329,1587,1705,1764
CXU500110LB0202M,Insurance,<5K,0,4999,311,270,293,282,736,650,298,489,481,341,455,327,583
CXU500110LB0203M,Insurance,5K-10K,5000,9999,284,288,269,288,313,315,318,380,323,271,477,254,619
CXU500110LB0204M,Insurance,10K-15K,10000,14999,444,430,404,395,518,522,489,462,467,529,589,548,835
CXU500110LB0205M,Insurance,15K-20K,15000,19999,592,575,515,478,446,825,594,745,673,634,595,700,570
CXU500110LB0206M,Insurance,20K-30K,20000,29999,729,718,681,638,840,796,701,699,634,628,806,876,910
CXU500110LB0207M,Insurance,30K-40K,30000,39999,901,866,772,755,936,729,1239,861,773,845,913,834,758
CXU500110LB0208M,Insurance,40K-50K,40000,49999,983,1032,949,911,1213,1071,796,1061,892,1136,738,931,842
CXU500110LB0209M,Insurance,50K-70K,50000,69999,1158,1146,1092,1043,1179,1253,1328,1104,1204,997,1305,1209,1166
CXU500110LB0212M,Insurance,70K-80K,70000,79999,1284,1245,1154,1159,1234,1357,1592,1358,1105,1676,1228,1462,1151
CXU500110LB0213M,Insurance,80K-100K,80000,99999,1421,1431,1300,1176,1515,1834,1360,1212,1367,1204,1116,1190,1188
CXU500110LB0215M,Insurance,100K-120K,100000,119999,1583,1584,1372,1307,1201,1614,1390,1072,1834,1555,1721,1349,1858
CXU500110LB0216M,Insurance,120K-150K,120000,149999,1600,1744,1562,1482,2053,1773,1494,2253,1343,1534,1227,2039,1517
CXU500110LB0217M,Insurance,150K+,150000,200000,1651,1720,1699,1561,1473,1483,1705,1618,1331,1716,1658,2118,1701
CXUVEHFINCHLB0202M,FinanceCharges,<5K,0,4999,140,52,67,73,74,82,74,39,42,49,53,37,51
CXUVEHFINCHLB0203M,FinanceCharges,5K-10K,5000,9999,73,47,35,36,36,48,37,32,44,26,64,52,39
CXUVEHFINCHLB0204M,FinanceCharges,10K-15K,10000,14999,94,77,70,60,74,78,67,45,37,53,41,47,41
CXUVEHFINCHLB0205M,FinanceCharges,15K-20K,15000,19999,129,96,98,91,94,89,76,70,64,55,53,63,53
CXUVEHFINCHLB0206M,FinanceCharges,20K-30K,20000,29999,230,171,154,154,139,172,150,114,111,93,100,100,104
CXUVEHFINCHLB0207M,FinanceCharges,30K-40K,30000,39999,360,253,244,221,217,249,192,180,162,174,147,164,156
CXUVEHFINCHLB0208M,FinanceCharges,40K-50K,40000,49999,406,358,316,298,267,309,256,236,218,197,191,181,178
CXUVEHFINCHLB0209M,FinanceCharges,50K-70K,50000,69999,560,445,365,374,400,386,361,307,257,242,239,238,234
CXUVEHFINCHLB0212M,FinanceCharges,70K-80K,70000,79999,626,559,426,472,457,445,452,383,374,335,289,287,282
CXUVEHFINCHLB0213M,FinanceCharges,80K-100K,80000,99999,756,564,533,497,503,514,455,401,376,376,334,333,352
CXUVEHFINCHLB0215M,FinanceCharges,100K-120K,100000,119999,721,575,534,526,524,456,486,398,442,422,352,370,345
CXUVEHFINCHLB0216M,FinanceCharges,120K-150K,120000,149999,676,655,546,531,534,612,508,471,457,419,375,402,412
CXUVEHFINCHLB0217M,FinanceCharges,150K+,150000,200000,605,562,585,550,588,515,492,468,461,427,409,388,424
CXUVEHPURCHLB0202M,VehiclePurchases,<5K,0,4999,1284,712,988,1161,753,430,934,580,1122,1582,863,980,1627
CXUVEHPURCHLB0203M,VehiclePurchases,5K-10K,5000,9999,946,700,781,485,620,810,649,451,1090,774,886,1179,849
CXUVEHPURCHLB0204M,VehiclePurchases,10K-15K,10000,14999,1397,1209,580,1261,1118,606,673,526,283,697,669,1253,737
CXUVEHPURCHLB0205M,VehiclePurchases,15K-20K,15000,19999,1589,1328,1192,961,1689,1346,953,880,1106,1100,914,1195,1316
CXUVEHPURCHLB0206M,VehiclePurchases,20K-30K,20000,29999,2607,2186,2460,1866,1887,1770,1201,1585,1035,1425,2068,1906,2169
CXUVEHPURCHLB0207M,VehiclePurchases,30K-40K,30000,39999,3264,2671,2289,2781,2233,2069,2112,2141,1988,1751,2305,1970,2421
CXUVEHPURCHLB0208M,VehiclePurchases,40K-50K,40000,49999,3686,2867,3221,2229,2149,2098,2099,2289,1957,2197,2854,3151,3652
CXUVEHPURCHLB0209M,VehiclePurchases,50K-70K,50000,69999,5407,4539,4423,3597,3840,3093,2742,2389,2879,3855,3271,3442,4155
CXUVEHPURCHLB0212M,VehiclePurchases,70K-80K,70000,79999,5698,4218,4517,4322,4046,3114,3410,4222,3095,4267,3981,3933,5187
CXUVEHPURCHLB0213M,VehiclePurchases,80K-100K,80000,99999,6834,5516,5093,5155,5386,3916,3386,3717,4455,5283,4510,4310,5356
CXUVEHPURCHLB0215M,VehiclePurchases,100K-120K,100000,119999,7295,6013,7388,5502,5626,4546,4800,4799,4966,6126,6223,5597,6600
CXUVEHPURCHLB0216M,VehiclePurchases,120K-150K,120000,149999,7932,7028,6940,6805,6198,5764,4713,5806,4878,5146,6506,6256,7904
CXUVEHPURCHLB0217M,VehiclePurchases,150K+,150000,200000,7683,8384,8753,10284,6708,5984,7506,5313,6639,7421,7986,7337,8105
CXUNEWCARSLB0202M,NewVehiclePurchase,<5K,0,4999,510,279,445,798,255,0,123,229,694,1008,61,423,736
CXUNEWCARSLB0203M,NewVehiclePurchase,5K-10K,5000,9999,288,294,213,72,181,239,0,0,226,459,303,280,229
CXUNEWCARSLB0204M,NewVehiclePurchase,10K-15K,10000,14999,750,512,96,526,533,201,191,77,0,231,218,511,84
CXUNEWCARSLB0205M,NewVehiclePurchase,15K-20K,15000,19999,518,450,382,339,731,537,333,242,401,648,313,400,442
CXUNEWCARSLB0206M,NewVehiclePurchase,20K-30K,20000,29999,1236,913,1213,701,619,610,514,529,328,487,555,524,911
CXUNEWCARSLB0207M,NewVehiclePurchase,30K-40K,30000,39999,1470,1237,937,984,788,727,717,823,605,659,992,764,1214
CXUNEWCARSLB0208M,NewVehiclePurchase,40K-50K,40000,49999,1425,1337,1339,927,901,909,823,1161,573,1101,995,1520,1871
CXUNEWCARSLB0209M,NewVehiclePurchase,50K-70K,50000,69999,2654,2254,2317,1761,1508,1228,1242,1001,1231,1711,1547,1206,1482
CXUNEWCARSLB0212M,NewVehiclePurchase,70K-80K,70000,79999,3538,2139,1923,2266,1856,1230,1368,2107,1955,2261,1571,1686,2781
CXUNEWCARSLB0213M,NewVehiclePurchase,80K-100K,80000,99999,4474,3166,2969,2794,3138,2151,1851,1676,1910,2801,2135,2046,2762
CXUNEWCARSLB0215M,NewVehiclePurchase,100K-120K,100000,119999,5664,3210,4949,3092,3042,2468,2356,2613,2792,3499,3360,2700,3375
CXUNEWCARSLB0216M,NewVehiclePurchase,120K-150K,120000,149999,5076,4584,4797,4006,3465,3187,2694,3290,2968,3006,3697,3682,4089
CXUNEWCARSLB0217M,NewVehiclePurchase,150K+,150000,200000,6003,5117,6258,7289,4347,3848,5100,3144,4035,4163,5163,4821,4791
CXUUSEDCARSLB0202M,UsedVehiclePurchases,<5K,0,4999,713,414,523,362,497,378,811,339,376,574,797,557,890
CXUUSEDCARSLB0203M,UsedVehiclePurchases,5K-10K,5000,9999,658,406,566,413,414,533,649,451,850,310,577,897,598
CXUUSEDCARSLB0204M,UsedVehiclePurchases,10K-15K,10000,14999,639,695,484,728,566,346,480,449,283,466,451,742,648
CXUUSEDCARSLB0205M,UsedVehiclePurchases,15K-20K,15000,19999,1071,870,805,609,916,627,618,638,696,449,596,795,872
CXUUSEDCARSLB0206M,UsedVehiclePurchases,20K-30K,20000,29999,1372,1258,1207,1162,1220,1087,675,1041,706,918,1492,1341,1238
CXUUSEDCARSLB0207M,UsedVehiclePurchases,30K-40K,30000,39999,1755,1427,1337,1773,1359,1259,1367,1238,1321,1081,1283,1203,1181
CXUUSEDCARSLB0208M,UsedVehiclePurchases,40K-50K,40000,49999,2179,1449,1810,1251,1226,1166,1231,1073,1368,1075,1855,1594,1752
CXUUSEDCARSLB0209M,UsedVehiclePurchases,50K-70K,50000,69999,2608,2123,1988,1780,2216,1682,1423,1322,1603,2089,1695,2147,2564
CXUUSEDCARSLB0212M,UsedVehiclePurchases,70K-80K,70000,79999,2105,1974,2387,2031,1907,1741,1820,2044,1107,1876,2250,2142,2338
CXUUSEDCARSLB0213M,UsedVehiclePurchases,80K-100K,80000,99999,2144,2231,1943,2206,2051,1656,1485,1859,2468,2419,2281,2205,2571
CXUUSEDCARSLB0215M,UsedVehiclePurchases,100K-120K,100000,119999,1508,2723,2333,2276,2378,1896,2279,2186,1934,2456,2858,2835,3006
CXUUSEDCARSLB0216M,UsedVehiclePurchases,120K-150K,120000,149999,2653,2292,1971,2663,2549,2053,2009,2461,1715,2098,2704,2573,3708
CXUUSEDCARSLB0217M,UsedVehiclePurchases,150K+,150000,200000,1636,3157,2290,2855,2178,1930,2290,2118,2400,3025,2753,2339,3221
CXUOTHVEHCLLB0202M,OtherVehiclePurchase,<5K,0,4999,61,20,20,0,0,52,0,12,52,0,5,0,0
CXUOTHVEHCLLB0203M,OtherVehiclePurchase,5K-10K,5000,9999,0,0,1,0,25,38,0,0,14,6,7,2,22
CXUOTHVEHCLLB0204M,OtherVehiclePurchase,10K-15K,10000,14999,7,2,0,8,19,59,3,0,0,0,1,0,4
CXUOTHVEHCLLB0205M,OtherVehiclePurchase,15K-20K,15000,19999,0,7,5,14,42,182,2,0,9,3,6,0,2
CXUOTHVEHCLLB0206M,OtherVehiclePurchase,20K-30K,20000,29999,0,15,39,3,48,73,12,15,1,20,21,40,21
CXUOTHVEHCLLB0207M,OtherVehiclePurchase,30K-40K,30000,39999,38,6,16,24,86,83,29,80,62,11,30,3,26
CXUOTHVEHCLLB0208M,OtherVehiclePurchase,40K-50K,40000,49999,82,81,73,51,22,24,45,55,16,21,4,36,29
CXUOTHVEHCLLB0209M,OtherVehiclePurchase,50K-70K,50000,69999,145,161,118,56,117,182,77,65,44,55,29,89,109
CXUOTHVEHCLLB0212M,OtherVehiclePurchase,70K-80K,70000,79999,55,104,207,25,283,143,222,71,33,129,161,105,68
CXUOTHVEHCLLB0213M,OtherVehiclePurchase,80K-100K,80000,99999,216,119,181,156,197,109,50,182,76,63,94,59,24
CXUOTHVEHCLLB0215M,OtherVehiclePurchase,100K-120K,100000,119999,123,79,107,134,206,182,165,1,240,170,5,62,219
CXUOTHVEHCLLB0216M,OtherVehiclePurchase,120K-150K,120000,149999,203,153,172,137,183,524,11,55,195,42,105,1,107
CXUOTHVEHCLLB0217M,OtherVehiclePurchase,150K+,150000,200000,44,111,204,140,182,206,117,52,204,233,70,176,93
