State,Interstate,OthFwyExp,OthPrinArt,MinArt,MajColl,MinColl,Local,Total
AL,5745,0,6503,4800,4984,1686,6851,30569
AK,859,0,310,114,352,150,419,2205
AZ,7133,0,3302,1785,2913,467,1720,17321
AR,4328,488,4107,2968,4190,718,1991,18792
CA,17565,0,15958,9493,9558,2635,2851,58060
CO,4149,0,4030,2497,1835,736,1472,14720
CT,711,333,470,500,938,156,794,3902
DE,0,0,1356,323,592,106,402,2779
FL,9459,1941,7979,4112,3712,1807,6392,35403
GA,10007,0,6282,6281,5848,1530,6821,36770
HI,109,0,507,646,275,37,851,2424
ID,2204,0,2201,930,1431,243,2222,9232
IL,9066,0,3868,4665,5026,426,3777,26827
IN,7143,0,4662,3501,6232,1916,4907,28362
IA,4858,0,5681,2552,3482,877,1570,19019
KS,3192,0,4454,2266,2725,254,1677,14568
KY,6875,2112,5291,2775,4688,2538,3473,27753
LA,5404,0,2543,2846,4088,1467,2705,19052
ME,2249,0,1883,1800,2277,852,1424,10486
MD,3555,0,3477,2369,1990,1237,1659,14287
MA,1373,248,458,559,653,155,691,4139
MI,5792,2880,4510,7239,8152,948,2402,31923
MN,4108,40,7284,4947,4263,1343,2601,24586
MS,3835,0,5462,3514,4267,452,5915,23444
MO,6329,3643,4874,3601,5414,685,6185,30731
MT,2393,0,2305,1182,1076,386,1058,8401
NE,2624,985,2327,2298,1544,241,1091,11110
NV,1870,3,1577,460,406,155,522,4994
NH,1297,315,1080,978,1090,579,402,5742
NJ,1583,0,1924,771,1206,299,642,6423
NM,4406,0,3235,1482,1331,522,3353,14330
NY,6135,1215,2624,4784,4155,9399,4614,32926
NC,5996,101,7465,5183,8722,3455,9085,40007
ND,1527,0,1977,691,875,0,889,5959
OH,9137,0,6596,4344,8396,1954,5732,36159
OK,5143,0,5074,2967,5669,181,2738,21773
OR,4243,0,4470,2058,2048,595,1515,14931
PA,10372,1881,4192,6986,4492,1964,5847,35734
RI,407,0,125,132,161,37,23,884
SC,7596,0,3510,4982,4970,292,2332,23682
SD,2032,0,1694,1054,983,126,470,6360
TN,8656,0,5508,5074,3234,2761,3178,28412
TX,15480,0,20388,11888,13242,2565,5462,69024
UT,3166,0,1652,895,895,279,1115,8002
VT,1265,0,715,943,1190,219,1068,5400
VA,9342,1,6382,5229,4967,543,3402,29866
WA,4606,1777,2322,2183,3922,1163,1202,17177
WV,2787,0,2521,1589,2732,358,1071,11059
WI,5194,1638,6890,5167,8214,1129,3507,31739
WY,2382,0,1680,582,621,725,631,6621
DC,0,0,0,0,0,0,0,0
PR,462,0,179,280,139,143,96,1299
