State,Abbreviation,Total,Rural,Urban
Alabama,AL,4779736,1957932,2821804
Alaska,AK,710231,241338,468893
Arizona,AZ,6392017,651358,5740659
Arkansas,AR,2915918,1278329,1637589
California,CA,37253956,1880350,35373606
Colorado,CO,5029196,696435,4332761
Connecticut,CT,3574097,429155,3144942
Delaware,DE,897934,149985,747949
District of Columbia,DC,601723,0,601723
Florida,FL,18801310,1661466,17139844
Georgia,GA,9687653,2415502,7272151
Hawaii,HI,1360301,109812,1250489
Idaho,ID,1567582,461212,1106370
Illinois,IL,12830632,1477079,11353553
Indiana,IN,6483802,1786702,4697100
Iowa,IA,3046355,1096099,1950256
Kansas,KS,2853118,736157,2116961
Kentucky,KY,4339367,1806024,2533343
Louisiana,LA,4533372,1215567,3317805
Maine,ME,1328361,814819,513542
Maryland,MD,5773552,739221,5034331
Massachusetts,MA,6547629,525640,6021989
Michigan,MI,9883640,2513683,7369957
Minnesota,MN,5303925,1417614,3886311
Mississippi,MS,2967297,1503073,1464224
Missouri,MO,5988927,1770556,4218371
Montana,MT,989415,436401,553014
Nebraska,NE,1826341,490655,1335686
Nevada,NV,2700551,156754,2543797
New Hampshire,NH,1316470,522598,793872
New Jersey,NJ,8791894,467768,8324126
New Mexico,NM,2059179,464818,1594361
New York,NY,19378102,2349997,17028105
North Carolina,NC,9535483,3233727,6301756
North Dakota,ND,672591,269719,402872
Ohio,OH,11536504,2546810,8989694
Oklahoma,OK,3751351,1266322,2485029
Oregon,OR,3831074,726692,3104382
Pennsylvania,PA,12702379,2711092,9991287
Rhode Island,RI,1052567,97524,955043
South Carolina,SC,4625364,1557555,3067809
South Dakota,SD,814180,352933,461247
Tennessee,TN,6346105,2132860,4213245
Texas,TX,25145561,3847522,21298039
Utah,UT,2763885,260290,2503595
Vermont,VT,625741,382356,243385
Virginia,VA,8001024,1963930,6037094
Washington,WA,6724540,1072671,5651869
West Virginia,WV,1852994,950184,902810
Wisconsin,WI,5686986,1697348,3989638
Wyoming,WY,563626,198633,364993
Puerto Rico,PR,3725789,232533,3493256
