UrbanizedArea,PrimaryState,Population,Interstate,OthFwyExp,OthPrinArt,MinArt,MajColl,MinColl,Local,Total
New York--Newark,NY,17799861,55740,60784,62817,48938,19570,0,45537,293385
Los Angeles--Long Beach--Santa Ana,CA,11789487,79552,52443,69247,46795,11392,0,13887,273316
Chicago,IL,8307904,54411,2858,44432,33337,19573,0,23390,178000
Philadelphia,PA,5149079,22444,10920,28443,17187,10186,0,38669,127849
Miami,FL,4919036,22628,17746,27506,22460,13350,0,22320,126011
Dallas--Fort Worth--Arlington,TX,4145659,35970,25415,22245,20914,13346,0,5237,123127
Boston,MA,4032484,29555,10541,20102,14630,5140,0,12956,92923
Washington,DC,3933920,29568,7513,26623,17518,7672,0,8510,97404
Detroit,MI,3903377,24208,6236,28608,18329,5699,0,10097,93177
Houston,TX,3822509,25711,26328,18986,21061,10164,0,4754,107005
Atlanta,GA,3499840,40605,6181,15236,27361,9213,0,36183,134780
San Francisco--Oakland,CA,2995769,21107,15258,11280,11481,4499,0,3889,67514
Phoenix--Mesa,AZ,2907049,9647,19631,21815,12983,4687,0,9524,78287
Seattle,WA,2712205,20792,9593,14835,12540,5278,0,7791,70830
San Diego,CA,2674436,25728,10809,8738,13260,5741,0,2571,66848
Minneapolis--St. Paul,MN,2388593,19885,8643,5664,17887,4723,0,7890,64692
San Juan,PR,2216616,8498,2668,7298,5536,3747,0,3502,31249
St. Louis,MO,2077662,24582,5107,11741,7927,5474,0,13455,68286
Baltimore,MD,2076354,17747,8931,9884,8367,3872,0,3784,52585
Tampa--St. Petersburg,FL,2062339,11672,1877,15815,12187,7411,0,14049,63010
Denver--Aurora,CO,1984887,12864,7548,13821,7167,4081,0,5053,50534
Cleveland,OH,1786647,15090,2444,5497,6759,3152,0,6280,39222
Pittsburgh,PA,1753136,7036,1829,8827,7344,3704,0,5037,33776
Portland,OR,1583138,9884,3601,7125,6564,3964,0,3765,34902
San Jose,CA,1538312,6531,10391,10256,6091,1587,0,2134,36990
Riverside--San Bernardino,CA,1506816,14678,7315,5051,8747,3477,0,2590,41858
Cincinnati,OH,1503262,17099,1501,6671,6590,4719,0,6962,43543
Virginia Beach,VA,1394439,10809,2250,9490,8628,2477,0,4740,38395
Sacramento,CA,1393498,8010,7042,10031,4202,2854,0,2906,35044
Kansas City,MO,1361744,14820,5941,5757,6322,2370,0,8451,43662
San Antonio,TX,1327554,13189,5569,5561,7536,2998,0,1682,36535
Las Vegas,NV,1314357,7391,3414,5133,9763,0,4274,3877,33852
Milwaukee,WI,1308913,8374,2710,10315,4713,1203,0,1600,28916
Indianapolis,IN,1218919,12422,659,8228,5928,4437,0,12348,44022
Providence,RI,1174548,7145,3970,6279,4150,2968,0,1853,26364
Orlando,FL,1157431,5613,7142,8207,8450,6562,0,7908,43883
Columbus,OH,1133193,12863,2293,4232,6524,2562,0,3411,31884
New Orleans,LA,1009283,4349,347,4838,2724,948,0,1138,14343
Buffalo,NY,976703,4621,2021,5360,4252,1518,0,2959,20731
Memphis,TN,972091,6856,1588,6380,6379,1775,2,2727,25705
Austin,TX,901920,5507,6767,7641,3036,4320,0,2002,29272
Bridgeport--Stamford,CT,888890,6165,4127,2270,3657,1597,14,2169,19999
Salt Lake City,UT,887650,7363,609,3648,4594,1810,0,3730,21755
Jacksonville,FL,882295,9309,2234,4733,4541,3964,0,7761,32542
Louisville,KY,863582,11228,793,5498,3817,1731,3,3262,26332
Hartford,CT,851535,7856,2933,3304,4100,2203,13,1925,22333
Richmond,VA,818836,8999,2556,5475,4435,1898,0,3223,26586
Charlotte,NC,758927,10629,1180,5216,4669,2484,0,9309,33487
Nashville-Davidson,TN,749935,12647,2118,5996,5250,2403,0,5976,34391
Oklahoma City,OK,747003,8638,1848,6307,6542,1862,0,6520,31716
Tucson,AZ,720425,3452,310,7174,3567,1302,0,2381,18186
Honolulu,HI,718182,4600,1195,1895,1201,1069,0,3016,12977
Dayton,OH,703444,6062,882,3552,2753,2737,0,3075,19060
Rochester,NY,694396,3854,2029,1864,4645,1458,0,2262,16111
El Paso,TX,674801,3892,1676,4382,1804,1304,4,927,13991
Birmingham,AL,663615,9314,189,3819,4105,2229,0,6116,25773
Omaha,NE,626623,3434,1600,3917,2745,959,0,1697,14352
Albuquerque,NM,598191,4990,58,5450,2116,0,1227,1592,15433
Allentown--Bethlehem,PA,576408,3093,1923,3316,2064,1679,0,1471,13546
Springfield,MA,573610,4962,402,2859,3029,982,2,1796,14031
Akron,OH,570215,4170,1354,2310,2397,1355,0,3127,14713
Sarasota--Bradenton,FL,559229,2380,0,4058,2186,3112,0,4965,16701
Albany,NY,558947,6239,806,3441,2041,1292,0,2007,15826
Tulsa,OK,558329,2677,4905,3452,4688,558,0,4468,20748
Fresno,CA,554923,0,3596,2687,3594,984,0,1610,12471
Concord,CA,552624,6154,1065,2776,2556,929,0,1169,14649
Raleigh,NC,541527,6281,1276,4235,4961,1934,5,5632,24323
Grand Rapids,MI,539080,2579,2664,3950,3724,1199,0,1266,15382
Mission Viejo,CA,533015,4902,544,3853,1660,439,0,1058,12456
New Haven,CT,531314,5713,1847,1645,2379,1085,3,870,13542
McAllen,TX,523144,0,3120,4495,1544,2430,0,1190,12780
Toledo,OH,503008,3515,270,2480,1871,1588,0,2921,12646
Baton Rouge,LA,479019,4834,0,4848,3125,1284,0,682,14772
Colorado Springs,CO,466122,2752,1679,3178,1864,499,0,1108,11079
Worcester,MA,429882,5107,537,2596,2133,582,2,1116,12072
Charleston--North Charleston,SC,423410,3214,436,3690,2207,1251,0,822,11620
Wichita,KS,422301,1955,2260,2672,2123,578,0,1539,11126
Columbia,SC,420537,5425,362,2476,2656,1367,0,1059,13345
Knoxville,TN,419830,5314,81,3785,2704,1207,0,3251,16342
Ogden--Layton,UT,417933,4032,175,1342,2150,861,5,2903,11469
Youngstown,OH,417437,1566,903,1771,1609,1370,0,2454,9673
Syracuse,NY,402267,3832,754,1299,2145,814,0,1404,10248
Bakersfield,CA,396125,0,2149,2795,1637,625,0,834,8040
Palm Bay--Melbourne,FL,393289,2573,440,4453,1609,1102,0,3864,14041
Scranton,PA,385237,2151,748,1719,1552,707,0,906,7783
Des Moines,IA,370505,3443,0,2476,2403,690,0,1208,10219
Flint,MI,365096,3422,607,1947,2652,756,0,1093,10478
Harrisburg,PA,362782,3882,1452,1951,1601,1159,0,744,10790
Little Rock,AR,360331,5941,1265,1989,2871,966,7,977,14015
Poughkeepsie--Newburgh,NY,351982,3470,1644,1760,3010,2313,0,1111,13308
Chattanooga,TN,343509,3204,1196,1965,2927,500,0,1806,11598
Oxnard,CA,337591,0,2340,3097,812,706,0,747,7701
Augusta-Richmond County,GA,335630,1704,174,3059,1938,733,0,2280,9889
Spokane,WA,334858,1838,321,2805,1428,412,0,841,7645
Cape Coral,FL,329757,1426,261,2773,3007,1271,0,4210,12949
Madison,WI,329533,1033,2348,1924,807,655,0,528,7295
Pensacola,FL,323783,1390,0,2480,2536,1511,0,4125,12041
Lancaster,PA,323554,184,1726,989,2101,905,0,1034,6938
Mobile,AL,317605,2867,0,2688,1714,710,0,2325,10304
Stockton,CA,313392,2324,1224,1729,479,658,0,676,7089
Modesto,CA,310945,0,1831,1318,1339,653,0,641,5782
Reno,NV,303689,1825,1001,1806,1513,1,445,402,6992
Provo--Orem,UT,303680,3922,0,1522,1555,708,0,2156,9863
Greenville,SC,302194,2645,136,2298,2004,1554,0,519,9156
Lansing,MI,300032,2185,512,1360,1765,498,0,550,6870
Denton--Lewisville,TX,299823,2814,487,1624,2009,977,0,473,8384
Winston-Salem,NC,299290,1678,2850,232,1407,1633,0,3220,11021
Aguadilla--Isabela--San Sebastian,PR,299086,1006,0,676,938,478,0,312,3411
Corpus Christi,TX,293925,890,2027,1436,1246,779,0,1689,8066
Jackson,MS,292637,4620,0,4761,1679,1411,0,3432,15903
Durham,NC,287796,2865,1347,1115,1835,663,0,2354,10180
Fort Wayne,IN,287759,1457,66,1277,2221,1032,0,2798,8852
Santa Rosa,CA,285408,0,2547,751,1462,639,0,458,5858
Ann Arbor,MI,283904,2138,1495,1593,1910,738,0,583,8457
South Bend,IN,276498,475,644,1769,1610,885,0,2627,8010
