State,Motorcycle,Auto,LightTruck,Bus,SingleTruck,CombiTruck,Total
AL,0.7,71.9,20.1,0.3,3.2,3.9,100
AK,0.1,69.6,25.8,0.2,3.3,1,100
AZ,0.3,77.7,18.1,0.3,2.6,1,100
AR,0.5,67,26.4,0.4,1.7,4.1,100
CA,0.6,62.7,30.9,0.1,3,2.8,100
CO,0.9,70.1,25.5,0.6,1.5,1.5,100
CT,0.5,82,14.5,0.1,2,0.9,100
DE,1.1,76.3,12.3,1.6,5.2,3.5,100
FL,0.6,76.9,17.4,0.5,2.8,1.7,100
GA,1.4,66.1,21.2,1,5.6,4.8,100
HI,1.2,79,16.2,0.7,2.2,0.8,100
ID,2.3,53.1,37,0.4,6.9,0.3,100
IL,0.7,84.4,8.4,0.9,2.8,2.8,100
IN,0.9,65.4,21.4,0.9,4,7.4,100
IA,0.2,84.5,11.3,0.2,1.7,2.1,100
KS,0.6,75.1,20.2,0.1,1.8,2.2,100
KY,0.8,74.9,15.6,0.8,3.6,4.3,100
LA,0.4,59.9,26.8,0.9,6.1,5.9,100
ME,0.9,75.4,18.3,0.7,3,1.7,100
MD,0.3,79.8,15,0.5,3.2,1.3,100
MA,1,82.1,13.5,0.4,2,1,100
MI,0.2,76.7,17.2,0.1,2.3,3.5,100
MN,1,66,27.6,0.3,2.5,2.1,99.5
MS,0.3,72.7,20.9,0.4,2.9,2.7,100
MO,0.9,67.3,21,0.4,3.6,6.9,100
MT,0.5,55.2,38.4,1.7,1.9,2.3,100
NE,0.6,66.2,29.7,0.1,1.6,1.8,100
NV,0.3,87.1,7.2,0.5,2.3,2.7,100
NH,1,71.7,20.9,0.5,3.9,2.1,100
NJ,0.1,74.9,20.3,0.1,2.8,1.9,100
NM,0.6,62.7,23.7,1,6.6,5.4,100
NY,0.4,79.1,16,0.4,2.4,1.7,100
NC,0.6,75.3,16.7,0.6,3.5,3.3,100
ND,1.3,53.2,31.7,0.8,5.3,7.7,100
OH,1,77,16,0,2,4,100
OK,0.3,69.2,23.8,0.2,4.2,2.3,100
OR,0.5,61.9,30.3,0.9,3.6,2.8,100
PA,0.9,71.3,16.2,0.4,4.5,6.7,100
RI,0.3,82.2,14,0.2,1.3,2,100
SC,0.7,74.3,14.1,0.8,4.6,5.5,100
SD,1.8,64.3,25.2,0,5.2,3.5,100
TN,0.6,74.1,20.5,0,1.6,3.2,100
TX,0.3,71.6,20.9,0.2,3.2,3.8,100
UT,0.5,59.3,23.2,0.4,9.9,6.7,100
VT,0.8,73.7,19.1,0.7,3.8,1.9,100
VA,0.3,79.4,16.5,0.5,1.3,2,100
WA,0.3,65.1,27.1,0.2,4.9,2.4,100
WV,0.7,76.9,17.5,0.5,3,1.4,100
WI,0.2,73.7,15.8,0.4,6.1,3.8,100
WY,0.3,48.7,45,0.3,2.3,3.4,100
DC,0.4,84.4,11.4,1.3,2.1,0.4,100
PR,0.7,74.2,13.4,0.9,4.0,6.9,100
