Package,Module,Description,Status,VERSPM,VERPAT
VESyntheticFirms,CreateBaseSyntheticFirms,Creates base year synthetic firms by NAICS and number of jobs,I,,X
VESyntheticFirms,CreateFutureSyntheticFirms,Creates future year synthetic firms by NAICS and number of jobs,I,,X
VESimHouseholds,CreateHouseholds,Creates households with number of persons by age group,EIT,,
VESimHouseholds,PredictWorkers,Assigns number of workers by age group to households,EIT,,
VESimHouseholds,AssignLifeCycle,Assigns household lifecycle category,EIT,,
VESimHouseholds,PredictIncome,Predict total household income,EIT,,
VELandUse,PredictHousing,"Predict household housing (single-family, multifamily, group quarters) and place each household in a Bzone",EIT,,
VELandUse,LocateEmployment,"Allocate number of jobs by Bzone and type (total, retail, service) & assign jobsite Bzone to workers and create worker table",EIT,,
VELandUse,AssignDevTypes,"Assign development type to household (urban, rural)",EIT,,
VELandUse,Calculate4DMeasures,"Calculate Bzone density, diversity, design, and accessibility measures",EIT,,
VELandUse,CalculateUrbanMixMeasure,Assign urban mixed use attribute to households,EIT,,
VELandUse,CalculateBasePlaceTypes,Assign households and firms to the place types (bzones) for the base year,IT,,X
VELandUse,CalculateFuturePlaceTypes,Assign households and firms to the place types (bzones) for the years that are not base year,IT,,X
VETransportSupply,AssignTransitService,Calculates transit revenue miles per capita for region and Bzone transit service level,EIT,,
VETransportSupply,AssignRoadMiles,Calculates regional per capita lane-miles for freeways and for arterials,EIT,,
VETransportSupply,CreateBaseAccessibility,"Calculate freeway and arterial lane-miles per capita, and bus and rail lane miles using run year data",IT,,X
VETransportSupply,CreateFutureAccessibility,"Calculate freeway and arterial lane-miles per capita, and bus and rail lane miles using future year data",IT,,X
VETransportSupplyUse,CalculateCongestionBase,"Models roadway speeds, delay, and congestion costs using run year data",IT,,X
VETransportSupplyUse,CalculateCongestionFuture,"Models roadway speeds, delay, and congestion costs using future year data",IT,,X
VETransportSupplyUse,CalculateCongestionPolicy,"Models roadway speeds, delay, and congestion costs using future year data adjusted to policy",IT,,X
VEHouseholdVehicles,AssignVehicleOwnership,Assign number of vehicles owned by household,EIT,,
VEHouseholdVehicles,AssignCarServiceAV,Identifies household use of car services and adjusts vehicle ownership. Autonomous vehicle deployment.,,,
VEHouseholdVehicles,AssignVehicleType,"Assigns vehicle type (auto, light truck) to each household vehicle",EIT,,
VEHouseholdVehicles,CreateVehicleTable,"Creates vehicle table and populates with household and vehicle IDs, geography, and vehicle type",EIT,,
VEHouseholdVehicles,AssignVehicleAge,Assign age to each household vehicle,EIT,,
VEHouseholdVehicles,AssignPowertrain,"Assigns powertrain type (ICE, HEV, PHEV, EV) to each household vehicle",EIT,,
VEHouseholdVehicles,AssignVehicleFeatures,"Assigns number of vehicles, vehicle type, and age by households using run year data",IT,,X
VEHouseholdVehicles,AssignVehicleFeatures,"Assigns number of vehicles, vehicle type, and age by households using future year data",IT,,X
VEHouseholdTravel,CalculateHouseholdDVMT,Calculate household DVMT on household vehicles and carshare vehicles,EIT,,
VEHouseholdTravel,CalculateAltModeTrips,"Calculate household walk trips, bike trips, and transit trips",IT,,
VEHouseholdTravel,DivertSovTravel,"Calculate proportional reduction of DVMT based on user-established goals for shifting short-range SOV tours to bike or similar ""slow"" modes",EIT,,
VEHouseholdTravel,AssignVehicleDvmtSplit,Determines how household DVMT is split between household vehicles,EIT,,
VEHouseholdTravel,AssignVehicleDvmt,Assigns household DVMT to household vehicles,EIT,,
VEHouseholdTravel,CalculateVehicleEnergySplit,Determines proportions of DVMT of each vehicle powered by stored electricity vs. on-board hydrocarbon fuel,EIT,,
VEHouseholdTravel,CalculateTravelDemand,"Calculate household, bus, truck, and vehicles dvmt using run year data",,,
