Distance,PopProp
0,0.01957438
1,0.042832521
2,0.048621585
3,0.04921792
4,0.048989318
5,0.048057446
6,0.046556388
7,0.045086075
8,0.043536321
9,0.042803119
10,0.039873805
11,0.039056277
12,0.035553761
13,0.032729638
14,0.030492951
15,0.028551997
16,0.025325765
17,0.023848914
18,0.022727059
19,0.02170433
20,0.020674289
21,0.01803742
22,0.017734831
23,0.016760659
24,0.015101935
25,0.014067608
26,0.012751082
27,0.013252619
28,0.011494974
29,0.010843745
30,0.009718252
31,0.00840173
32,0.008192944
33,0.007664355
34,0.006664896
35,0.00707215
36,0.00631264
37,0.005596495
38,0.004313261
39,0.004464827
40,0.045739718
