Distance,PopDensity
0,6088.124536
1,4933.370892
2,3779.250757
3,3085.263772
4,2528.922109
5,2149.136688
6,1803.040064
7,1646.133025
8,1429.466684
9,1481.206058
10,1297.842916
11,1227.995273
12,1090.24603
13,1018.40963
14,925.3793675
15,907.4368254
16,868.6117706
17,738.4869488
18,630.0908799
19,578.3654405
20,534.5759435
21,511.0445091
22,513.436013
23,513.9031317
24,464.7068315
25,435.0897248
26,389.6251795
27,415.0415031
28,343.750855
29,376.1043496
30,296.7641601
31,231.5628639
32,265.9208798
33,267.8881244
34,223.3534098
35,202.1430113
36,221.0240368
37,207.3135126
38,148.5449317
39,125.0073849
40,29.0358127
